deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date
D0094,C0151,U002,49196.86,closed won,open,2026/06/13,19/08/2026
D0095,C0086,U003,"$5,063.44",Proposal,won,11/06/2025,11/25/2025
D0096,C0421,U010,8766.79,Proposal Sent,lost,30-11-2025,2025-12-11
D0097,C0398,U012,"$36,105.94",Lost,Lost,2026-03-09,2026/03/26
D0098,C0395,U002,74991.34,Negotiation,closed,20/06/2026,
D0099,C0238,U001,13511.7,qualified,Won,2026-05-02,25-06-2026
D0100,C0349,U004,78389.72,prospect,,,
D0101,C0153,U005,73162.6,Proposal Sent,,02/18/2026,
D0102,C0376,U008,"$52,015.76",negotiation ,Won,16/04/2026,2026/06/11
D0103,C0437,U006,"$67,589.45",prospect,closed,31/05/2026,
D0104,C0429,U009,17595.75,Prospect,OPEN,03/05/2026,
D0105,C0025,U006,70262.78,Proposal,Won,2026-04-10,05/30/2026
D0106,C0188,U008,50504.5,Closed Lost,OPEN,01-11-2025,2026-01-03
D0107,C0143,U001,72794.08,closed won,open,04/04/2026,04/27/2026
D0108,C0135,U011,3174.37,Won,closed,2026-06-17,
D0109,C0066,U011,20184.8,qualified,open,17-01-2026,
D0110,C0190,U014,19720.46,Closed Won,,2026/04/03,2026-05-08
D0111,C0004,U009,,Closed Won,closed,01/06/2026,N/A
D0112,C0139,U011,56285.99,negotiation ,Won,06/24/2026,07/30/2026
D0113,C0029,U013,"$13,184.11",closed won,lost,28-04-2026,27/07/2026
D0114,C0205,U007,62167 USD,prospect,won,14/04/2026,30-05-2026
D0115,C0255,U005,"$16,624.84",qualified,closed,27-12-2025,
D0116,C0282,U013,8956.54,qualified,lost,26-02-2026,23-05-2026
D0117,C0188,U005,72576.36,Negotiation,,2026/04/29,
D0118,C0313,U002,11504.63,closed-lost,won,12/05/2026,N/A
D0119,C0431,U003,35667.52,Qualified,won,24/01/2026,03/11/2026
D0120,C0394,U002,83884.47,closed-lost,lost,N/A,09/08/2026
D0121,C0385,U013,42379.69,qualified,OPEN,2026/06/17,
D0122,C0216,U007,"$33,506.92",Won,,24-02-2026,N/A
D0123,C0449,U006,58008.47,Lost,won,09-04-2026,2026-04-14
D0124,C0194,U009,"$6,951.47",Negotiation,OPEN,19/04/2026,
D0125,C0301,U009,84621.95,negotiation ,Lost,24-11-2025,02/22/2026
D0126,C0410,U007,"$62,218.60",Prospect,won,2026/02/02,2026-03-05
D0127,C0185,U012,22858.4,prospect,Lost,,2026-06-20
D0128,C0330,U014,59094.1,Prospect,open,2026/04/22,
D0129,C0355,U003,26643.22,Proposal,open,31-05-2026,
D0130,C0354,U003,44217.33,Won,Open,2026-06-01,
D0131,C0307,U004,82755.5,Proposal Sent,closed,05/10/2026,
D0132,C0250,U004,1728.62,closed-lost,lost,2026/04/23,05/26/2026
D0133,C0046,U013,"$61,917.56",Lost,Open,11/08/2025,
D0134,C0149,U005,69400.4,Closed Lost,open,01-03-2026,16-03-2026
D0135,C0215,U012,72579.03,Prospecting,Open,,
D0136,C0327,U003,,negotiation ,lost,22-05-2026,07/20/2026
D0137,C0057,U007,71281.65,closed won,,01/07/2026,08/07/2026
D0138,C0056,U003,10160.04,prospect,OPEN,2026/06/28,
D0139,C0090,U010,3906.16,closed won,lost,02/22/2026,14/05/2026
D0140,C0056,U007,23344.67,Closed Lost,open,2026/06/06,2026/06/17
D0141,C0366,U010,45179.12,proposal sent,lost,06/20/2026,28/08/2026
D0142,C0074,U014,2472.35,,open,25/02/2026,
D0143,C0438,U003,28272.92,PROSPECT,,2026/03/12,
D0144,C0325,U007,39834.4,closed won,won,29/12/2025,2026-01-11
D0145,C0250,U012,"$35,187.21",Prospect,Open,2025-12-12,
D0146,C0312,U011,48454.77,Negotiation,closed,18-06-2026,
D0147,C0027,U014,29219.71,proposal sent,,19-04-2026,
D0148,C0057,U002,30003.32,proposal sent,open,26-11-2025,
D0149,C0189,U012,76389.24,Prospecting,open,30/06/2026,
D0150,C0308,U004,79173.06,Proposal,Open,11/07/2025,
D0151,C0054,U013,78873.32,Won,open,14/06/2026,
D0152,C0297,U009,1862.19,Qualified,,19/01/2026,
D0153,C0243,U009,"$62,496.30",qualified,OPEN,2026/02/01,
D0154,C0162,U009,77978.51,closed won,Lost,07-01-2026,28/03/2026
D0155,C0407,U003,59951.19,Qualified,Lost,2026/04/24,2026/07/13
D0156,C0319,U004,61151.11,Proposal,won,04/11/2026,07/02/2026
D0157,C0253,U009,65024.71,negotiation ,Open,20/06/2026,
D0158,C0450,U014,68993.45,,Won,,2026-06-08
D0159,C0100,U005,22421.84,qualified,Won,11-04-2026,2026/07/10
D0160,C0016,U006,73980.95,Closed Lost,Open,2026/06/13,2026/09/02
D0161,C0397,U013,78861.48,Negotiation,open,03-04-2026,N/A
D0162,C0027,U001,74048.97,Proposal Sent,won,02/28/2026,21-05-2026
D0163,C0382,U010,26064 USD,,won,05/13/2026,2026/06/09
D0164,C0060,U007,"$47,975.98",prospect,Lost,20-01-2026,
D0165,C0234,U012,14334.23,Qualified,open,N/A,N/A
D0166,C0311,U014,67457.33,Negotiation,,N/A,
D0167,C0265,U004,7192.74,qualified,closed,2026/06/13,
D0168,C0176,U004,31627 USD,Proposal,lost,2025/11/16,2025/12/31
D0169,C0415,U013,57356.36,Prospect,Open,2026/01/23,N/A
D0170,C0122,U001,33720.64,negotiation ,Lost,2026/06/10,27-06-2026
D0171,C0259,U013,,Lost,,30-04-2026,
D0172,C0048,U003,"$2,112.10",,closed,04/25/2026,
D0173,C0214,U014,70700.51,Prospecting,won,08/04/2026,2026-06-18
D0174,C0378,U011,39845.31,Qualified,open,2026-05-10,
D0175,C0126,U009,35537.34,PROSPECT,won,23-06-2026,
D0176,C0340,U002,55058.8,,open,2026/02/14,
D0177,C0428,U002,25701.36,Closed Won,closed,27-12-2025,12/01/2026
D0178,C0193,U007,14553 USD,Prospect,,2026/01/02,
D0179,C0320,U003,47719.27,Negotiation,lost,2026-01-10,14/01/2026
D0180,C0271,U009,63982.76,PROSPECT,Won,27/11/2025,2025/12/26
D0181,C0071,U003,71201 USD,qualified,won,2026/01/22,2026/04/13
D0182,C0232,U011,"$25,769.50",,Open,2026/03/24,
D0183,C0167,U006,"$25,308.95",Qualified,won,16/12/2025,2025/12/31
D0184,C0333,U005,81548 USD,Qualified,lost,06/17/2026,30/07/2026
D0185,C0139,U014,62703.23,Closed Won,OPEN,19-03-2026,16/06/2026
D0186,C0278,U002,71789.72,qualified,Open,2025/12/01,
D0187,C0371,U011,75990.78,PROSPECT,Open,2026/01/15,
D0188,C0389,U010,47558.1,Proposal,open,01/02/2026,
D0189,C0074,U006,,closed won,won,2026/04/28,15-07-2026
D0190,C0253,U001,"$64,726.71",proposal sent,OPEN,2026/01/15,N/A
D0191,C0333,U014,"$79,921.13",Qualified,,03/24/2026,
D0192,C0187,U004,77295.13,prospect,won,16/12/2025,2026-02-23
D0193,C0328,U006,,Prospecting,closed,2026/02/03,
D0194,C0087,U007,56053.6,closed won,lost,11/02/2026,04/30/2026
D0195,C0260,U007,67686.9,Closed Won,lost,,11/07/2026
D0196,C0082,U004,55230 USD,PROSPECT,closed,13-05-2026,
D0197,C0413,U002,61641.35,proposal sent,Lost,06/15/2026,30/07/2026
D0198,C0011,U004,49386 USD,prospect,OPEN,2025-12-01,
D0199,C0073,U001,44639.5,qualified,Won,2026-04-11,07-05-2026
D0200,C0043,U004,15742.33,Closed Lost,,2026/03/24,05/27/2026
D0201,C0315,U011,61969.6,Lost,Won,2025/11/26,N/A
D0202,C0191,U007,2882.98,Qualified,Open,02/11/2025,
D0203,C0306,U002,76784.29,qualified,,2026/05/26,
D0204,C0059,U002,"$46,530.38",closed-lost,OPEN,16/01/2026,06-04-2026
D0205,C0440,U001,79858.21,Lost,Lost,18-05-2026,2026/06/19
D0206,C0049,U007,65449.22,Qualified,Won,2026/01/11,16/03/2026
D0207,C0129,U004,"$49,761.93",Prospect,open,,
D0208,C0348,U013,10399.7,negotiation ,Lost,15-04-2026,03/06/2026
D0209,C0285,U006,36004.55,Proposal Sent,Lost,06-12-2025,04/01/2026
D0210,C0127,U005,72892.41,Closed Won,Lost,08/01/2026,01/28/2026
D0211,C0050,U004,68371.29,Lost,Lost,2026-05-01,2026-06-16
D0212,C0406,U002,78809.46,Qualified,,N/A,
D0213,C0040,U010,52766.13,prospect,Lost,2026/05/20,N/A
D0214,C0392,U014,38154 USD,qualified,,2025/11/08,
D0215,C0017,U013,59820.55,Lost,closed,17-01-2026,
D0216,C0001,U003,30986.16,PROSPECT,Won,2026/03/02,
D0217,C0356,U002,25255.23,PROSPECT,closed,17-04-2026,
D0218,C0412,U005,79131.11,proposal sent,won,06/01/2026,2026/03/08
D0219,C0037,U009,68545.68,Negotiation,lost,2026/05/25,11/06/2026
D0220,C0191,U010,81763.43,closed-lost,won,2026/03/20,05/05/2026
D0221,C0058,U005,67353 USD,PROSPECT,Lost,03-04-2026,26-06-2026
D0222,C0260,U009,25488.68,Prospect,Won,23-12-2025,N/A
D0223,C0089,U008,,negotiation ,lost,01/10/2026,02/09/2026
D0224,C0118,U012,20638.83,proposal sent,Won,23-06-2026,2026-07-22
D0225,C0060,U002,81492.42,closed-lost,open,14-11-2025,2026/01/25
D0226,C0437,U005,24902 USD,closed-lost,OPEN,2026-05-16,23/07/2026
D0227,C0240,U009,30498.63,prospect,closed,07/12/2025,N/A
D0228,C0353,U009,2487 USD,Closed Lost,lost,23-04-2026,27-04-2026
D0229,C0093,U009,40857.34,Proposal Sent,won,25/05/2026,01/07/2026
D0230,C0354,U013,24849 USD,Closed Won,lost,2026/06/15,2026-08-08
D0231,C0365,U005,37590.27,proposal sent,closed,12/25/2025,
D0232,C0005,U003,12728.39,Won,,2026/04/28,
D0233,C0398,U008,"$73,184.92",Negotiation,Won,06/13/2026,N/A
D0234,C0411,U005,,closed-lost,Open,2026/05/08,07-07-2026
D0235,C0174,U001,30816.06,Won,Open,2026/05/28,
D0236,C0328,U009,28645.04,qualified,Won,26/04/2026,13/06/2026
D0237,C0310,U005,54988.48,Closed Lost,OPEN,2026/01/12,2026-02-05
D0238,C0040,U003,,negotiation ,won,17/05/2026,29/06/2026
D0239,C0395,U014,36068 USD,Closed Won,closed,,09-08-2026
D0240,C0376,U012,"$34,653.31",PROSPECT,won,09/12/2025,2026-01-02
D0241,C0390,U007,10178.02,Lost,Open,05/11/2025,
D0242,C0124,U012,"$53,811.14",Negotiation,,2026-02-04,
D0243,C0180,U014,40510.66,negotiation ,,2026/02/11,
D0244,C0353,U009,54192.47,qualified,,2026/02/23,
D0245,C0269,U005,"$20,465.23",Closed Won,,24/01/2026,06-04-2026
D0246,C0006,U001,30214.39,Lost,OPEN,,N/A
D0247,C0382,U008,65450.08,Negotiation,open,2025-11-18,
D0248,C0094,U007,22366.33,,Lost,26/04/2026,2026-06-18
D0249,C0214,U011,65338.95,proposal sent,closed,08-01-2026,
D0250,C0376,U009,72766 USD,Proposal Sent,Lost,13/06/2026,10-07-2026
D0251,C0354,U010,"$3,119.52",closed-lost,won,04/20/2026,03-06-2026
D0252,C0135,U003,"$9,031.45",Closed Lost,open,13/03/2026,14/04/2026
D0253,C0188,U008,71936.12,prospect,lost,N/A,2025-12-07
D0254,C0274,U008,69740.44,qualified,won,01/18/2026,22/02/2026
D0255,C0124,U012,"$62,899.45",prospect,won,05/12/2026,12-07-2026
D0256,C0163,U003,,prospect,closed,05/30/2026,
D0257,C0026,U014,21203.15,Proposal,Open,,
D0258,C0295,U002,82397.72,closed won,won,2026/06/15,2026-06-19
D0259,C0125,U003,53156.85,closed-lost,Open,2026-01-13,N/A
D0260,C0326,U003,12007 USD,,Open,08-04-2026,
D0261,C0221,U012,59052.37,Proposal,open,2026-03-21,
D0262,C0221,U009,59703 USD,Negotiation,closed,16-02-2026,
D0263,C0235,U005,7251 USD,,OPEN,25-02-2026,
D0264,C0228,U001,75224.85,Lost,Lost,2026/06/06,2026-07-02
D0265,C0333,U009,58549.22,closed won,won,21-12-2025,01-03-2026
D0266,C0055,U002,5155.4,Lost,Open,2026-05-15,
D0267,C0244,U004,49179.52,Prospecting,open,2025/12/18,
D0268,C0298,U005,"$52,097.13",prospect,lost,04/08/2026,2026-05-09
D0269,C0235,U013,63580.37,prospect,lost,2026-01-27,11-04-2026
D0270,C0266,U001,80374.39,PROSPECT,Won,05/27/2026,06/08/2026
D0271,C0096,U009,48128.36,proposal sent,OPEN,2025/11/25,
D0272,C0230,U012,15429 USD,Won,Open,10-05-2026,
D0273,C0269,U010,47431.79,Closed Lost,lost,28/05/2026,10/07/2026
D0274,C0416,U012,47059.79,negotiation ,won,31-01-2026,16/04/2026
D0275,C0226,U007,83576.87,Prospect,open,27-06-2026,
D0276,C0111,U004,65922.18,negotiation ,open,2026/04/14,
D0277,C0288,U010,4650.98,Qualified,Open,11-12-2025,
D0278,C0125,U004,49135.68,Proposal Sent,Won,2025-11-14,28/11/2025
D0279,C0086,U008,62520.91,Prospecting,Won,N/A,N/A
D0280,C0390,U006,"$79,175.55",Closed Won,Lost,2026/02/23,20/04/2026
D0281,C0027,U005,28162.93,Lost,open,06/18/2026,
D0282,C0340,U012,"$49,533.78",closed won,,29/11/2025,16-02-2026
D0283,C0042,U008,"$34,832.47",prospect,closed,03/05/2026,
D0284,C0242,U009,34509.12,Proposal,,2026/01/21,
D0285,C0036,U005,"$78,665.53",Won,lost,14/02/2026,05/15/2026
D0286,C0162,U006,83968.94,Prospect,Won,06/12/2025,30/12/2025
D0287,C0022,U014,32714.04,proposal sent,won,2026-04-25,07/24/2026
D0288,C0313,U003,30163.16,Negotiation,open,30/12/2025,
D0289,C0105,U012,47126.42,,won,2025/11/29,12/28/2025
D0290,C0351,U012,77154.36,Prospect,Lost,2026-02-05,2026/04/23
D0291,C0136,U001,,Closed Lost,open,13-01-2026,2026-01-24
D0292,C0147,U014,43963.12,closed won,won,25/03/2026,2026/05/15
D0293,C0045,U003,82227.08,Proposal,closed,2025-12-12,
D0294,C0267,U005,34349 USD,negotiation ,,30-04-2026,
D0295,C0152,U004,53753.66,Lost,Won,2026-05-08,18-05-2026
D0296,C0113,U003,12961.27,negotiation ,Lost,2026/06/29,09/24/2026
D0297,C0211,U004,77462.91,Qualified,Lost,04/12/2026,2026/05/24
D0298,C0273,U011,27301.37,Proposal,OPEN,11/22/2025,
D0299,C0390,U003,48037.91,qualified,lost,21-02-2026,03/04/2026
D0300,C0368,U001,26829.57,negotiation ,Lost,18-05-2026,07/12/2026
D0301,C0053,U003,65164.36,qualified,open,2026/02/01,
D0302,C0301,U004,31498.32,proposal sent,open,2026/04/03,
D0303,C0236,U012,"$42,535.71",Closed Won,OPEN,2026-02-16,2026-04-09
D0304,C0136,U007,7022.38,proposal sent,won,2025/11/03,02-12-2025
D0305,C0436,U008,66313.93,proposal sent,Lost,28-11-2025,2026/01/21
D0306,C0300,U009,44974.2,Lost,open,2025-11-30,
D0307,C0123,U009,48068.03,,Lost,2026-04-05,13/04/2026
D0308,C0201,U005,,Negotiation,,2026/06/09,N/A
D0309,C0233,U014,10949.83,Closed Lost,Open,2025/12/25,02/03/2026
D0310,C0163,U008,39382.34,Prospect,OPEN,23/03/2026,
D0311,C0163,U012,9114.47,qualified,Open,2026-06-28,
D0312,C0194,U012,33119.67,Lost,OPEN,25-02-2026,
D0313,C0333,U014,74046 USD,Qualified,OPEN,18/04/2026,
D0314,C0369,U013,16588.12,Closed Lost,Won,2025-11-23,14-02-2026
D0315,C0007,U008,68922.46,closed-lost,,03/24/2026,04/06/2026
D0316,C0228,U007,51609 USD,Closed Lost,Open,2026/02/01,04/21/2026
D0317,C0025,U003,"$56,048.62",Qualified,open,2026/07/01,
D0318,C0150,U006,10592.12,PROSPECT,open,20-04-2026,
D0319,C0350,U012,82185.49,,OPEN,2026-01-12,
D0320,C0151,U006,64829.91,Closed Won,Lost,N/A,2025-12-12
D0321,C0351,U014,36049 USD,Proposal Sent,lost,2026-01-18,2026/03/29
D0322,C0044,U008,,Negotiation,Lost,2026/04/23,07/12/2026
D0323,C0310,U010,43061.38,closed-lost,closed,05/29/2026,08/20/2026
D0324,C0001,U002,"$53,725.97",Prospect,,2026/03/11,N/A
D0325,C0209,U001,68805 USD,negotiation ,lost,07-02-2026,2026-04-22
D0326,C0155,U005,"$28,547.64",Lost,closed,20-04-2026,
D0327,C0287,U010,17700.3,Prospect,OPEN,04/02/2026,N/A
D0328,C0403,U001,14474.76,Qualified,,18-05-2026,
D0329,C0411,U007,26495.2,prospect,closed,2026/05/10,
D0330,C0291,U011,,negotiation ,lost,,2026/03/20
D0331,C0425,U003,11256.53,closed won,OPEN,16-11-2025,03-02-2026
D0332,C0209,U002,39234.18,closed-lost,won,23-05-2026,12-07-2026
D0333,C0397,U001,"$38,555.14",Proposal,Open,2026/03/11,
D0334,C0172,U008,13465.14,Lost,Won,2026/05/18,07/01/2026
D0335,C0103,U012,33863.62,prospect,,08-04-2026,N/A
D0336,C0347,U014,"$75,747.02",PROSPECT,lost,02-05-2026,
D0337,C0384,U005,,Proposal,lost,21/12/2025,18-01-2026
D0338,C0074,U003,2773.94,Proposal Sent,Open,04/09/2026,
D0339,C0277,U006,80263.7,Proposal Sent,OPEN,11/29/2025,
D0340,C0309,U006,"$5,735.64",,,2026-05-29,
D0341,C0027,U002,60340.58,Won,Lost,18/04/2026,13-05-2026
D0342,C0168,U014,8058.56,Proposal,closed,2025/11/01,
D0343,C0411,U013,27417.71,Closed Lost,Open,17/02/2026,04/19/2026
D0344,C0072,U014,16809.98,Proposal Sent,lost,16-01-2026,2026-03-10
D0345,C0033,U008,40014 USD,Prospecting,lost,2025/11/10,2026/01/13
D0346,C0051,U007,55729.19,Prospecting,lost,20/03/2026,06/02/2026
D0347,C0313,U004,82819.96,,OPEN,2026/04/08,
D0348,C0219,U010,59460 USD,negotiation ,closed,2025/11/21,
D0349,C0057,U010,9654.1,Closed Lost,lost,02/01/2026,N/A
D0350,C0054,U011,"$55,356.59",closed won,lost,05/02/2026,2026-07-07
D0351,C0383,U003,45859.86,Qualified,,11/21/2025,
D0352,C0442,U006,61435.57,Negotiation,Won,2025/11/30,
D0353,C0257,U007,32330.11,Qualified,Won,N/A,22-01-2026
D0354,C0055,U014,21142.64,Negotiation,open,23-06-2026,
D0355,C0205,U007,19137 USD,Won,closed,2025/12/12,
D0356,C0182,U014,25587.32,Won,OPEN,2026-06-26,
D0357,C0009,U003,8569.4,closed-lost,Lost,09/04/2026,2026/04/29
D0358,C0214,U010,44036.15,qualified,,30-12-2025,
D0359,C0214,U010,72208 USD,Prospect,,11/11/2025,N/A
D0360,C0291,U006,48940.49,prospect,open,18/06/2026,N/A
D0361,C0040,U003,44665.29,Lost,Won,06/08/2026,2026-08-09
D0362,C0346,U011,5906.65,,Won,10/01/2026,01/04/2026
D0363,C0289,U012,81708.54,negotiation ,Lost,2026-03-10,2026/04/27
D0364,C0379,U005,54046.55,Proposal Sent,open,04-12-2025,
D0365,C0315,U001,8389.6,Negotiation,,27-02-2026,
D0366,C0311,U005,63409.34,Proposal Sent,Won,01/15/2026,19-01-2026
D0367,C0408,U003,16597.57,Proposal Sent,won,,08/14/2026
D0368,C0300,U014,64355.57,Qualified,,01/07/2026,
D0369,C0083,U004,23577.02,Closed Won,open,N/A,21/06/2026
D0370,C0152,U008,58573.08,,won,2026/03/04,2026-04-24
D0371,C0145,U013,27860.0,Closed Lost,Lost,2026-04-16,14-07-2026
D0372,C0426,U007,"$23,801.83",Proposal Sent,lost,10/04/2026,05/17/2026
D0373,C0371,U011,29673.45,Proposal,closed,2025/11/11,
D0374,C0005,U014,35839.27,PROSPECT,open,09-11-2025,
D0375,C0143,U005,"$3,478.99",Proposal,open,12/05/2025,N/A
D0376,C0322,U002,"$73,012.81",Prospecting,Open,2026/05/27,
D0377,C0092,U002,40490.79,qualified,Won,22-12-2025,31-01-2026
D0378,C0129,U003,33463.72,PROSPECT,Won,N/A,13-12-2025
D0379,C0089,U008,83282 USD,PROSPECT,,14/03/2026,
D0380,C0272,U013,55218.74,Won,won,2026-03-24,
D0381,C0036,U010,3066.86,Proposal Sent,,2026-01-07,N/A
D0382,C0336,U007,59954.61,Proposal Sent,OPEN,2026/04/26,
D0383,C0390,U008,71978.1,closed-lost,Lost,2026/02/11,06/04/2026
D0384,C0348,U014,46197.89,closed-lost,Open,14-03-2026,2026-05-28
D0385,C0185,U009,71738.66,negotiation ,Open,01/02/2026,
D0386,C0020,U007,76354.47,Proposal,Won,2026-04-07,29/05/2026
D0387,C0372,U004,17623.24,Qualified,open,10/12/2025,
D0388,C0400,U009,46083.99,Negotiation,,2026-02-19,
D0389,C0028,U006,19175.13,prospect,Lost,2026/06/18,2026/07/06
D0390,C0117,U002,"$42,322.71",prospect,OPEN,2026/04/14,
D0391,C0355,U011,"$15,882.79",Qualified,open,2026-06-17,
D0392,C0085,U014,11034.0,PROSPECT,Open,2025-12-05,
D0393,C0215,U006,82983.75,closed won,lost,12/20/2025,2026/01/07
D0394,C0086,U006,24370.1,PROSPECT,Open,02-04-2026,
