customer_id,segment,revenue,last_activity,churn_risk
CUST-1141,Mid-Market,30505.64,2024-05-08,Low
CUST-1142,SMB,11817.82,2024-05-09,Low
CUST-1143,Mid-Market,33749.18,2024-05-10,Medium
CUST-1144,Mid-Market,31097.35,2024-05-11,Low
CUST-1145,Enterprise,18229.05,2024-05-12,Low
CUST-1146,SMB,6121.1,2024-05-13,Low
CUST-1147,SMB,33742.87,2024-05-14,High
CUST-1148,Enterprise,26255.23,2024-05-15,Medium
CUST-1149,Mid-Market,38729.76,2024-05-16,Low
CUST-1150,Starter,26248.09,2024-05-17,Low
CUST-1151,Mid-Market,42682.98,2024-05-18,Low
CUST-1152,Enterprise,27819.39,2024-05-19,Low
CUST-1153,SMB,28266.43,2024-05-19,High
CUST-1154,Starter,43894.35,2024-05-20,Low
CUST-1155,Mid-Market,20472.4,2024-05-21,Low
CUST-1156,SMB,7133.75,2024-05-22,Low
CUST-1157,SMB,1924.74,2024-05-23,Low
CUST-1158,Mid-Market,37879.29,2024-05-24,Low
CUST-1159,SMB,31205.32,2024-05-25,Medium
CUST-1160,Mid-Market,35351.95,2024-05-26,Low
CUST-1161,SMB,11041.73,2024-05-27,Low
CUST-1162,SMB,7250.39,2024-05-28,Low
CUST-1163,SMB,1219.96,2024-05-29,Low
CUST-1164,Enterprise,17854.08,2024-05-30,Low
CUST-1165,Starter,29700.93,2024-05-30,Low
CUST-1166,Mid-Market,19916.08,2024-05-31,Medium
CUST-1167,Mid-Market,22155.01,2024-06-01,Low
CUST-1168,Enterprise,45255.86,2024-06-02,Low
CUST-1169,SMB,17738.65,2024-06-03,Low
CUST-1170,SMB,25942.48,2024-06-04,Low
CUST-1171,Enterprise,39290.82,2024-06-05,High
CUST-1172,SMB,20128.87,2024-06-06,Medium
CUST-1173,Mid-Market,31293.29,2024-06-07,Low
CUST-1174,SMB,43187.0,2024-06-08,Low
CUST-1175,Mid-Market,47501.27,2024-06-09,Low
CUST-1176,SMB,7780.14,2024-06-10,Low
CUST-1177,Mid-Market,46366.09,2024-06-10,Low
CUST-1178,Starter,24859.76,2024-06-11,Low
CUST-1179,Enterprise,13283.1,2024-06-12,Low
CUST-1180,Mid-Market,23227.22,2024-06-13,Low
CUST-1181,Enterprise,49011.61,2024-06-14,Medium
CUST-1182,Starter,24884.6,2024-06-15,Low
CUST-1183,Starter,16773.2,2024-06-16,Low
CUST-1184,Mid-Market,31853.34,2024-06-17,Medium
CUST-1185,SMB,12387.21,2024-06-18,Low
CUST-1186,Starter,4255.23,2024-06-19,Low
CUST-1187,SMB,6879.55,2024-06-20,Low
CUST-1188,SMB,6838.27,2024-06-20,Low
CUST-1189,Mid-Market,8019.18,2024-06-21,Medium
CUST-1190,Enterprise,7371.95,2024-06-22,Medium
CUST-1191,Starter,32223.3,2024-06-23,Low
CUST-1192,Starter,9503.06,2024-06-24,Low
CUST-1193,SMB,17610.53,2024-06-25,Low
CUST-1194,Mid-Market,44891.03,2024-06-26,Low
CUST-1195,Mid-Market,23961.1,2024-06-27,Low
CUST-1196,SMB,33544.11,2024-06-28,High
CUST-1197,Starter,9029.83,2024-06-29,Low
CUST-1198,Starter,10018.31,2024-06-30,High
CUST-1199,SMB,2523.0,2024-07-01,Low
CUST-1200,SMB,8862.29,2024-07-01,Low
CUST-1201,Enterprise,14290.22,2024-07-02,Low
CUST-1202,Mid-Market,9262.02,2024-07-03,Medium
CUST-1203,Starter,4890.78,2024-07-04,Medium
CUST-1204,SMB,6471.48,2024-07-05,Medium
CUST-1205,Enterprise,23308.55,2024-07-06,Low
CUST-1206,Enterprise,10713.52,2024-07-07,Low
CUST-1207,SMB,18531.36,2024-07-08,Medium
CUST-1208,Enterprise,25419.15,2024-07-09,Low
CUST-1209,Mid-Market,34674.54,2024-07-10,Low
CUST-1210,SMB,2445.95,2024-07-11,Low
CUST-1211,SMB,40070.81,2024-07-12,High
CUST-1212,SMB,31581.07,2024-07-12,High
CUST-1213,Mid-Market,4547.07,2024-07-13,Low
CUST-1214,SMB,43742.14,2024-07-14,Medium
CUST-1215,Mid-Market,46083.18,2024-07-15,High
CUST-1216,Mid-Market,3523.36,2024-07-16,Low
CUST-1217,SMB,14205.44,2024-07-17,Low
CUST-1218,SMB,40406.96,2024-07-18,High
CUST-1219,Starter,37538.85,2024-07-19,Low
CUST-1220,SMB,9633.79,2024-07-20,Low
CUST-1221,SMB,10862.79,2024-07-21,Low
CUST-1222,Enterprise,18838.37,2024-07-22,High
CUST-1223,Mid-Market,24483.89,2024-07-22,High
CUST-1224,Mid-Market,31103.61,2024-07-23,High
CUST-1225,Mid-Market,18761.23,2024-07-24,Low
CUST-1226,Starter,23395.47,2024-07-25,Medium
CUST-1227,Mid-Market,37499.81,2024-07-26,Medium
CUST-1228,Starter,2315.82,2024-07-27,Low
CUST-1229,SMB,12995.63,2024-07-28,Medium
CUST-1230,SMB,35810.8,2024-07-29,Low
CUST-1231,SMB,44812.74,2024-07-30,Low
CUST-1232,SMB,25828.03,2024-07-31,Low
CUST-1233,SMB,26839.62,2024-08-01,Low
CUST-1234,Mid-Market,5805.01,2024-08-02,Low
CUST-1235,SMB,22646.91,2024-08-02,Low
CUST-1236,Mid-Market,26864.55,2024-08-03,Low
CUST-1237,Enterprise,12502.29,2024-08-04,Medium
CUST-1238,SMB,13827.54,2024-08-05,Low
CUST-1239,Mid-Market,19175.57,2024-08-06,Low
CUST-1240,Starter,1493.52,2024-08-07,Low
CUST-1241,Starter,16442.92,2024-08-08,Medium
CUST-1242,Starter,10966.68,2024-08-09,Low
CUST-1243,Mid-Market,16711.12,2024-08-10,Low
CUST-1244,Enterprise,6428.23,2024-08-11,Medium
CUST-1245,Starter,44581.1,2024-08-12,Low
CUST-1246,Mid-Market,29882.83,2024-08-13,Low
CUST-1247,Starter,34115.56,2024-08-13,Low
CUST-1248,Starter,39563.98,2024-08-14,Medium
CUST-1249,Starter,25172.89,2024-08-15,Low
CUST-1250,Mid-Market,4802.55,2024-08-16,Medium
CUST-1251,Mid-Market,27086.77,2024-08-17,Low
CUST-1252,Starter,29548.64,2024-08-18,High
CUST-1253,Mid-Market,37399.25,2024-08-19,Medium
CUST-1254,Mid-Market,21867.15,2024-08-20,High
CUST-1255,SMB,6815.22,2024-08-21,Low
CUST-1256,Starter,14546.91,2024-08-22,Medium
CUST-1257,SMB,18472.57,2024-08-23,Low
CUST-1258,SMB,32472.9,2024-08-24,Low
CUST-1259,Enterprise,28753.53,2024-08-24,Low
CUST-1260,SMB,18126.79,2024-08-25,Medium
CUST-1261,Starter,49332.5,2024-08-26,High
CUST-1262,Enterprise,30485.85,2024-08-27,Medium
CUST-1263,SMB,12242.73,2024-08-28,Low
CUST-1264,Starter,5538.23,2024-08-29,Low
CUST-1265,SMB,8066.53,2024-08-30,Medium
CUST-1266,SMB,12674.91,2024-08-31,Low
CUST-1267,SMB,8453.73,2024-09-01,Low
CUST-1268,Mid-Market,9735.07,2024-09-02,Low
CUST-1269,Mid-Market,14612.21,2024-09-03,Low
CUST-1270,Starter,9081.99,2024-09-03,Low
CUST-1271,Starter,44889.89,2024-09-04,Low
CUST-1272,Starter,4471.57,2024-09-05,Low
CUST-1273,Starter,26463.31,2024-09-06,Low
CUST-1274,SMB,20814.64,2024-09-07,High
CUST-1275,SMB,49127.74,2024-09-08,Low
CUST-1276,SMB,6045.93,2024-09-09,Low
CUST-1277,SMB,20193.85,2024-09-10,Low
CUST-1278,SMB,48488.79,2024-09-11,Low
CUST-1279,SMB,43342.6,2024-09-12,High
CUST-1280,Starter,40945.07,2024-09-13,Medium
CUST-1281,Mid-Market,13266.19,2024-09-14,Low
CUST-1282,Mid-Market,8958.94,2024-09-14,Low
CUST-1283,Enterprise,33597.84,2024-09-15,Medium
CUST-1284,SMB,46504.11,2024-09-16,High
CUST-1285,Enterprise,28059.76,2024-09-17,Low
CUST-1286,SMB,28794.83,2024-09-18,Low
CUST-1287,SMB,14358.97,2024-09-19,Low
CUST-1288,Mid-Market,38589.9,2024-09-20,High
CUST-1289,SMB,9758.67,2024-09-21,Low
CUST-1290,Enterprise,16522.12,2024-09-22,High
CUST-1291,Enterprise,21559.1,2024-09-23,Low
CUST-1292,Starter,25626.71,2024-09-24,Low
CUST-1293,Mid-Market,12499.28,2024-09-25,Low
CUST-1294,Enterprise,6184.42,2024-09-25,Low
CUST-1295,SMB,30725.69,2024-09-26,Low
CUST-1296,SMB,14787.21,2024-09-27,Low
CUST-1297,Mid-Market,29271.29,2024-09-28,Low
CUST-1298,SMB,8140.95,2024-09-29,Medium
CUST-1299,Enterprise,24316.44,2024-09-30,Low
CUST-1300,Enterprise,26863.18,2024-10-01,Low
CUST-1301,SMB,3065.27,2024-10-02,High
CUST-1302,SMB,17161.91,2024-10-03,Medium
CUST-1303,SMB,7153.53,2024-10-04,High
CUST-1304,SMB,3637.06,2024-10-05,High
CUST-1305,Starter,49503.03,2024-10-06,Low
CUST-1306,SMB,16456.52,2024-10-06,Low
CUST-1307,Mid-Market,40588.79,2024-10-07,Medium
CUST-1308,SMB,13104.71,2024-10-08,Low
CUST-1309,Mid-Market,34234.38,2024-10-09,Low
CUST-1310,Mid-Market,38131.28,2024-10-10,Medium
CUST-1311,Enterprise,29984.12,2024-10-11,Low
CUST-1312,Enterprise,23843.02,2024-10-12,Low
CUST-1313,Starter,20886.13,2024-10-13,Low
CUST-1314,Starter,17768.98,2024-10-14,Low
CUST-1315,SMB,46511.69,2024-10-15,Low
CUST-1316,Mid-Market,41615.66,2024-10-16,Low
CUST-1317,Mid-Market,48268.83,2024-10-16,Medium
CUST-1318,Mid-Market,6652.71,2024-10-17,Low
CUST-1319,Mid-Market,36677.94,2024-10-18,Low
CUST-1320,SMB,46947.85,2024-10-19,Medium
CUST-1321,SMB,9471.04,2024-10-20,High
CUST-1322,SMB,3791.57,2024-10-21,Medium
CUST-1323,Mid-Market,37185.47,2024-10-22,Medium
CUST-1324,Starter,28936.42,2024-10-23,Low
CUST-1325,SMB,42170.52,2024-10-24,Low
CUST-1326,SMB,7418.73,2024-10-25,Low
CUST-1327,SMB,39865.73,2024-10-26,Low
CUST-1328,Mid-Market,10480.55,2024-10-27,Low
CUST-1329,Mid-Market,8600.97,2024-10-27,Low
CUST-1330,Mid-Market,8631.16,2024-10-28,Medium
CUST-1331,SMB,40821.45,2024-10-29,Low
CUST-1332,Enterprise,33427.26,2024-10-30,Low
CUST-1333,Enterprise,26391.74,2024-10-31,Low
CUST-1334,Enterprise,18262.11,2024-11-01,Low
CUST-1335,Enterprise,43921.43,2024-11-02,Low
CUST-1336,Starter,19926.03,2024-11-03,Medium
CUST-1337,SMB,40921.67,2024-11-04,Low
CUST-1338,SMB,22237.18,2024-11-05,Low
CUST-1339,Enterprise,19158.75,2024-11-06,Low
CUST-1340,SMB,23402.65,2024-11-07,Medium
CUST-1341,SMB,15418.2,2024-11-07,Low
CUST-1342,Mid-Market,37506.66,2024-11-08,Low
CUST-1343,Mid-Market,25384.66,2024-11-09,Low
CUST-1344,Mid-Market,11994.53,2024-11-10,Low
CUST-1345,SMB,45028.94,2024-11-11,Medium
CUST-1346,SMB,19502.62,2024-11-12,Medium
CUST-1347,Enterprise,27405.87,2024-11-13,Low
CUST-1348,Mid-Market,45370.37,2024-11-14,Medium
CUST-1349,SMB,31399.78,2024-11-15,Medium
CUST-1350,SMB,6286.45,2024-11-16,Medium
CUST-1351,Starter,47021.69,2024-11-17,Medium
CUST-1352,SMB,31571.55,2024-11-18,Low
CUST-1353,Mid-Market,17077.83,2024-11-18,Low
CUST-1354,Enterprise,7393.97,2024-11-19,Low
CUST-1355,SMB,39804.25,2024-11-20,Medium
CUST-1356,Enterprise,31193.6,2024-11-21,Low
CUST-1357,SMB,26906.32,2024-11-22,Medium
CUST-1358,Starter,44747.68,2024-11-23,Medium
CUST-1359,SMB,39535.56,2024-11-24,Low
CUST-1360,Mid-Market,8007.91,2024-11-25,Medium
CUST-1361,SMB,15930.24,2024-11-26,Low
CUST-1362,SMB,12800.21,2024-11-27,Low
CUST-1363,SMB,37325.34,2024-11-28,Medium
CUST-1364,Starter,2159.86,2024-11-28,Low
CUST-1365,Mid-Market,28709.54,2024-11-29,Medium
CUST-1366,Starter,38241.7,2024-11-30,Medium
CUST-1367,Starter,43899.9,2024-12-01,Low
CUST-1368,Mid-Market,17433.05,2024-12-02,Low
CUST-1369,Enterprise,41152.24,2024-12-03,Low
CUST-1370,Enterprise,5976.27,2024-12-04,Low
CUST-1371,Enterprise,42399.39,2024-12-05,High
CUST-1372,Enterprise,6810.69,2024-12-06,Low
CUST-1373,SMB,20165.72,2024-12-07,Low
CUST-1374,Enterprise,39966.12,2024-12-08,Low
CUST-1375,Mid-Market,7920.91,2024-12-09,Low
CUST-1376,Starter,11847.94,2024-12-09,Medium
CUST-1377,Enterprise,36251.5,2024-12-10,Low
CUST-1378,Starter,36141.81,2024-12-11,Medium
CUST-1379,Mid-Market,32236.81,2024-12-12,Low
CUST-1380,Enterprise,34850.45,2024-12-13,High
CUST-1381,SMB,27364.86,2024-12-14,Low
CUST-1382,SMB,12964.05,2024-12-15,Low
CUST-1383,Starter,17611.95,2024-12-16,High
CUST-1384,SMB,9489.09,2024-12-17,Low
CUST-1385,Starter,45468.3,2024-12-18,High
CUST-1386,Mid-Market,29377.89,2024-12-19,Low
CUST-1387,Mid-Market,20342.15,2024-12-20,Low
CUST-1388,SMB,23369.29,2024-12-20,Low
CUST-1389,Starter,47390.53,2024-12-21,Medium
CUST-1390,Starter,8090.89,2024-12-22,Low
CUST-1391,Mid-Market,29518.38,2024-12-23,Low
CUST-1392,Mid-Market,25541.49,2024-12-24,Low
CUST-1393,SMB,30766.98,2024-12-25,Low
CUST-1394,Mid-Market,1396.45,2024-12-26,Low
CUST-1395,Starter,43670.13,2024-12-27,Medium
CUST-1396,Starter,46639.85,2024-12-28,High
CUST-1397,Mid-Market,28474.09,2024-12-29,High
CUST-1398,SMB,34984.22,2024-12-30,Medium
CUST-1399,SMB,46163.72,2024-12-31,Low
