customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count
CUST_2085,25,217,3437.8,5,25
CUST_2086,16,409,2371.05,48,16
CUST_2087,9,522,1659.23,18,9
CUST_2088,17,70,2283.66,70,17
CUST_2089,19,186,1591.75,37,19
CUST_2090,19,44,3218.48,60,19
CUST_2091,18,94,1593.64,48,18
CUST_2092,15,550,464.85,77,15
CUST_2093,15,373,2555.47,28,15
CUST_2094,11,158,939.49,69,11
CUST_2095,13,677,2085.47,77,13
CUST_2096,13,501,1150.27,81,13
CUST_2097,17,92,2986.68,40,17
CUST_2098,18,168,1141.46,45,18
CUST_2099,14,528,2737.64,62,14
CUST_2100,13,622,2098.95,58,13
CUST_2101,15,421,674.87,67,15
CUST_2102,15,704,1860.16,56,15
CUST_2103,20,448,3948.79,40,20
CUST_2104,18,318,1933.86,40,18
CUST_2105,15,408,853.03,77,15
CUST_2106,9,519,988.53,33,9
CUST_2107,15,260,1720.2,6,15
CUST_2108,14,70,2167.13,88,14
CUST_2109,13,57,1914.87,19,13
CUST_2110,9,164,859.02,80,9
CUST_2111,12,230,757.85,40,12
CUST_2112,15,62,2068.27,59,15
CUST_2113,8,77,790.39,59,8
CUST_2114,10,532,481.48,48,10
CUST_2115,12,436,2191.2,41,12
CUST_2116,15,603,2189.46,13,15
CUST_2117,13,128,1879.24,45,13
CUST_2118,13,713,2196.38,89,13
CUST_2119,15,576,1765.36,53,15
CUST_2120,13,642,2179.25,42,13
CUST_2121,15,491,1682.49,63,15
CUST_2122,23,672,845.38,27,23
CUST_2123,21,34,2014.29,38,21
CUST_2124,11,247,1232.62,60,11
CUST_2125,19,532,2869.67,7,19
CUST_2126,19,427,829.37,5,19
CUST_2127,20,422,990.06,45,20
CUST_2128,8,236,569.16,58,8
CUST_2129,11,44,788.01,31,11
CUST_2130,9,583,1378.19,23,9
CUST_2131,16,490,1102.05,42,16
CUST_2132,22,720,2987.43,10,22
CUST_2133,14,604,1560.97,32,14
CUST_2134,12,270,1503.92,53,12
CUST_2135,13,593,2231.69,30,13
CUST_2136,21,125,2011.1,39,21
CUST_2137,7,514,1119.37,31,7
CUST_2138,16,436,1581.7,82,16
CUST_2139,14,260,1216.98,2,14
CUST_2140,27,684,5204.51,78,27
CUST_2141,20,200,1145.3,77,20
CUST_2142,16,570,652.94,12,16
CUST_2143,20,65,3198.45,39,20
CUST_2144,17,554,628.04,66,17
CUST_2145,17,189,2915.31,13,17
CUST_2146,19,728,1928.67,46,19
CUST_2147,15,272,2778.22,27,15
CUST_2148,13,115,1966.49,17,13
CUST_2149,18,607,2372.77,60,18
CUST_2150,15,711,2866.93,64,15
CUST_2151,19,586,1793.86,88,19
CUST_2152,14,603,2687.51,35,14
CUST_2153,17,675,826.63,70,17
CUST_2154,16,57,1754.51,83,16
CUST_2155,17,649,1227.99,30,17
CUST_2156,18,585,2150.5,71,18
CUST_2157,18,369,960.34,74,18
CUST_2158,21,360,3617.62,63,21
CUST_2159,14,669,2423.7,28,14
CUST_2160,16,535,3074.66,60,16
CUST_2161,22,377,1145.49,79,22
CUST_2162,14,502,1877.16,37,14
CUST_2163,10,260,1079.92,22,10
CUST_2164,18,219,1534.81,68,18
CUST_2165,11,254,951.71,20,11
CUST_2166,9,414,875.15,68,9
CUST_2167,23,406,3412.33,64,23
CUST_2168,19,312,2464.3,17,19
CUST_2169,19,662,2003.44,12,19
CUST_2170,11,657,421.17,22,11
CUST_2171,18,288,694.96,17,18
CUST_2172,19,388,482.78,10,19
CUST_2173,21,485,4081.3,65,21
CUST_2174,15,440,388.79,22,15
CUST_2175,19,678,817.79,82,19
CUST_2176,17,347,1360.92,50,17
CUST_2177,10,706,1663.0,14,10
CUST_2178,13,254,2513.77,64,13
CUST_2179,16,263,2612.04,47,16
CUST_2180,18,713,2625.26,29,18
CUST_2181,17,693,1975.87,76,17
CUST_2182,17,403,682.95,36,17
CUST_2183,17,701,3275.56,52,17
CUST_2184,14,637,2208.06,76,14
CUST_2185,17,501,2325.87,7,17
CUST_2186,16,262,2525.3,29,16
CUST_2187,23,721,3489.52,11,23
CUST_2188,12,142,1638.19,33,12
CUST_2189,16,526,3145.62,6,16
CUST_2190,10,471,1830.89,79,10
CUST_2191,8,593,1105.33,32,8
CUST_2192,22,297,3218.72,51,22
CUST_2193,23,539,782.67,75,23
CUST_2194,19,415,2702.48,58,19
CUST_2195,16,416,523.66,87,16
CUST_2196,18,142,2303.03,26,18
CUST_2197,19,642,3797.85,46,19
CUST_2198,18,654,2200.79,29,18
CUST_2199,10,110,1078.12,4,10
CUST_2200,23,728,1834.24,81,23
CUST_2201,17,142,783.55,13,17
CUST_2202,15,31,2293.94,39,15
CUST_2203,16,671,939.28,15,16
CUST_2204,18,249,813.14,29,18
CUST_2205,11,595,1086.89,29,11
CUST_2206,10,254,1641.85,75,10
CUST_2207,17,414,2641.57,32,17
CUST_2208,19,432,657.48,2,19
CUST_2209,12,667,1255.8,47,12
CUST_2210,23,159,2677.8,78,23
CUST_2211,20,82,2755.91,84,20
CUST_2212,12,713,1665.35,22,12
CUST_2213,14,701,1243.51,75,14
CUST_2214,18,445,2216.13,27,18
CUST_2215,17,276,1856.16,67,17
CUST_2216,15,468,2698.12,81,15
CUST_2217,14,232,1649.15,56,14
CUST_2218,16,213,1634.89,21,16
CUST_2219,13,152,1245.2,47,13
CUST_2220,15,430,1877.62,80,15
CUST_2221,19,323,3148.22,59,19
CUST_2222,12,309,1430.64,84,12
CUST_2223,16,639,2252.63,6,16
CUST_2224,19,227,2928.37,19,19
CUST_2225,19,540,2204.56,57,19
CUST_2226,12,173,1196.32,69,12
CUST_2227,16,638,2854.66,3,16
CUST_2228,10,230,980.64,1,10
CUST_2229,14,153,1481.76,58,14
CUST_2230,17,216,3371.27,38,17
CUST_2231,16,355,400.67,15,16
CUST_2232,15,493,861.87,34,15
CUST_2233,17,378,1567.29,61,17
CUST_2234,17,689,3199.45,35,17
CUST_2235,26,432,968.64,64,26
CUST_2236,13,375,346.58,25,13
CUST_2237,13,540,444.86,24,13
CUST_2238,22,176,890.89,12,22
CUST_2239,10,177,315.79,18,10
CUST_2240,19,518,2070.27,15,19
CUST_2241,20,669,2532.65,80,20
CUST_2242,18,580,1305.81,27,18
CUST_2243,14,367,1325.8,72,14
CUST_2244,9,670,369.43,60,9
CUST_2245,11,502,922.51,46,11
CUST_2246,12,180,1397.29,89,12
CUST_2247,20,444,3062.95,17,20
CUST_2248,14,327,358.2,53,14
CUST_2249,17,640,1815.25,8,17
