customer_id,transactions_per_month,engagement,support_tickets,days_since_last_purchase,total_spent,churn
CUST_3040,2.88,10.06,1,9,1614.52,0
CUST_3041,10.16,47.76,15,59,20.0,1
CUST_3042,1.17,8.44,9,27,1646.1,1
CUST_3043,18.23,76.77,0,12,4655.29,0
CUST_3044,5.55,21.41,3,11,4107.52,0
CUST_3045,13.42,54.27,7,32,20.0,0
CUST_3046,6.58,28.79,2,13,1968.6,0
CUST_3047,10.64,50.04,4,22,2113.37,0
CUST_3048,11.16,54.73,3,21,2225.77,0
CUST_3049,4.1,18.69,7,18,273.93,1
CUST_3050,19.41,92.22,1,2,4270.75,0
CUST_3051,15.62,66.13,10,45,1775.32,0
CUST_3052,18.82,79.58,18,70,1301.6,1
CUST_3053,17.95,80.6,18,58,1532.08,1
CUST_3054,12.16,55.87,8,27,2659.02,1
CUST_3055,18.48,83.05,1,3,2140.64,0
CUST_3056,2.23,3.81,7,28,1955.75,0
CUST_3057,4.32,19.18,3,12,865.88,1
CUST_3058,1.38,2.31,0,9,3382.96,0
CUST_3059,6.84,32.81,3,12,665.55,0
CUST_3060,8.08,37.46,4,17,2963.8,0
CUST_3061,5.79,23.24,8,25,47.87,0
CUST_3062,16.66,73.43,6,24,20.0,1
CUST_3063,7.46,30.38,4,19,437.56,0
CUST_3064,5.98,26.71,3,20,20.0,1
CUST_3065,11.08,52.74,30,106,20.0,1
CUST_3066,3.25,11.66,6,10,3244.41,1
CUST_3067,16.14,74.15,4,23,2142.88,0
CUST_3068,1.95,7.2,1,15,747.74,0
CUST_3069,19.74,86.47,9,37,20.0,0
CUST_3070,15.56,69.69,8,26,20.0,1
CUST_3071,4.37,16.58,4,11,712.61,0
CUST_3072,0.61,1.07,0,7,4396.41,0
CUST_3073,16.4,70.21,7,20,370.73,1
CUST_3074,14.28,70.17,7,21,985.69,1
CUST_3075,14.72,66.33,2,10,360.84,1
CUST_3076,15.54,67.83,15,56,20.0,1
CUST_3077,1.94,9.39,2,14,2513.19,1
CUST_3078,7.49,33.37,3,17,2625.01,0
CUST_3079,2.76,11.75,14,48,20.0,1
CUST_3080,17.33,79.83,5,23,20.0,0
CUST_3081,12.65,59.22,5,30,1202.01,1
CUST_3082,6.95,29.69,3,20,842.14,0
CUST_3083,1.74,6.1,4,20,919.41,0
CUST_3084,6.56,28.71,21,75,1496.31,1
CUST_3085,6.84,23.88,3,23,2698.67,0
CUST_3086,14.73,61.73,13,38,1032.5,1
CUST_3087,12.93,62.3,1,10,1928.25,0
CUST_3088,17.8,85.04,1,8,2010.1,0
CUST_3089,9.71,42.94,1,4,2725.13,0
CUST_3090,2.83,14.47,7,20,2668.83,1
CUST_3091,14.41,65.77,2,17,3172.76,1
CUST_3092,15.34,78.25,10,44,20.0,1
CUST_3093,11.44,54.86,5,19,2037.79,0
CUST_3094,15.53,69.52,18,58,20.0,1
CUST_3095,10.13,42.71,3,16,4201.41,0
CUST_3096,10.69,43.3,12,42,1570.2,1
CUST_3097,8.84,40.38,10,30,1510.25,0
CUST_3098,1.0,2.21,7,34,20.0,0
CUST_3099,2.6,7.45,10,34,1577.28,1
CUST_3100,1.11,3.07,8,29,20.0,1
CUST_3101,12.91,54.85,6,30,965.04,1
CUST_3102,6.63,34.9,2,7,687.37,0
CUST_3103,10.42,49.52,0,8,3464.71,0
CUST_3104,18.2,81.87,13,54,20.0,1
CUST_3105,5.36,28.57,7,26,1253.06,1
CUST_3106,8.5,38.49,12,27,3214.99,0
CUST_3107,15.23,65.97,4,14,575.66,1
CUST_3108,4.96,26.9,4,3,2488.42,0
CUST_3109,2.0,10.62,1,12,2047.44,0
CUST_3110,6.15,24.56,9,26,20.0,1
CUST_3111,3.64,15.83,3,12,3534.39,0
CUST_3112,18.63,81.2,1,18,259.29,0
CUST_3113,16.26,69.01,5,19,1882.67,0
CUST_3114,12.85,60.61,2,5,2794.23,0
CUST_3115,17.49,84.45,5,22,2481.53,1
CUST_3116,16.17,68.58,3,16,3223.63,1
CUST_3117,4.14,20.31,10,28,63.19,1
CUST_3118,17.9,78.62,4,11,20.0,0
CUST_3119,11.02,48.12,4,22,3158.98,0
CUST_3120,16.25,71.33,0,8,2715.37,0
CUST_3121,17.97,78.29,2,10,4136.81,0
CUST_3122,6.7,30.3,3,15,3726.09,0
CUST_3123,2.65,9.41,3,12,3709.25,0
CUST_3124,4.94,23.06,7,18,1743.89,0
CUST_3125,8.83,39.58,2,13,1458.91,0
CUST_3126,16.45,73.31,6,23,3028.73,0
CUST_3127,17.28,75.06,12,33,737.75,1
CUST_3128,0.64,1.13,9,37,20.0,1
CUST_3129,10.46,49.33,1,15,4257.03,1
CUST_3130,8.64,40.38,4,23,3900.62,0
CUST_3131,4.83,18.81,1,15,2296.23,0
CUST_3132,2.84,13.07,1,9,249.22,1
CUST_3133,7.08,34.13,22,84,20.0,1
CUST_3134,18.89,79.98,3,6,3914.35,0
CUST_3135,6.8,32.24,4,25,3965.95,1
CUST_3136,10.62,45.79,7,30,326.82,0
CUST_3137,14.21,65.65,7,30,20.0,1
CUST_3138,7.59,31.87,4,28,3742.87,1
CUST_3139,19.45,82.11,1,9,2000.23,0
CUST_3140,19.27,81.82,3,11,2438.46,0
CUST_3141,5.41,24.49,5,19,4260.15,1
CUST_3142,10.2,46.66,1,11,352.59,0
CUST_3143,6.37,25.94,3,9,2931.36,0
CUST_3144,6.05,29.16,1,10,436.1,1
CUST_3145,1.22,0.5,2,16,1874.33,0
CUST_3146,12.39,55.54,5,12,3634.12,0
CUST_3147,10.3,42.73,1,14,2110.1,0
CUST_3148,1.5,4.81,4,27,4315.58,0
CUST_3149,5.93,26.84,9,33,1903.82,0
CUST_3150,18.21,79.37,9,40,383.79,0
CUST_3151,5.17,22.12,1,12,999.88,0
CUST_3152,3.33,17.98,2,18,1670.91,0
CUST_3153,10.04,43.47,1,13,1837.05,0
CUST_3154,19.72,91.25,9,19,20.0,1
CUST_3155,5.22,20.1,7,27,930.28,1
CUST_3156,13.61,62.82,1,12,2349.09,1
CUST_3157,15.35,73.41,15,48,1439.66,1
CUST_3158,5.13,15.69,1,11,3275.28,0
CUST_3159,14.7,63.76,5,23,2949.47,1
CUST_3160,7.67,36.25,6,23,20.0,1
CUST_3161,12.83,57.13,10,42,20.0,1
CUST_3162,12.85,58.96,6,32,2340.6,1
CUST_3163,10.95,47.45,8,34,1177.06,1
CUST_3164,2.26,10.43,3,8,20.0,0
CUST_3165,16.79,75.08,9,28,2692.86,0
CUST_3166,6.76,33.9,1,7,3819.96,0
CUST_3167,4.14,19.38,13,50,985.61,1
CUST_3168,1.3,6.84,4,17,20.0,1
CUST_3169,12.02,52.87,9,37,2496.01,0
CUST_3170,13.71,60.24,4,14,2478.55,0
CUST_3171,0.82,2.41,5,22,3106.29,1
CUST_3172,10.49,48.37,5,25,3185.64,1
CUST_3173,4.92,20.86,8,32,2982.52,1
CUST_3174,13.08,59.73,1,4,2570.12,0
CUST_3175,3.9,23.78,1,8,737.79,0
CUST_3176,13.97,65.49,4,6,3161.61,0
CUST_3177,8.04,35.21,1,11,3001.27,0
CUST_3178,18.77,88.05,10,43,2093.81,1
CUST_3179,3.18,13.09,1,7,734.45,0
CUST_3180,7.15,26.06,19,65,20.0,1
CUST_3181,2.71,9.18,3,13,4134.35,0
CUST_3182,18.53,77.78,1,17,3614.06,0
CUST_3183,17.61,78.18,9,40,3302.95,0
CUST_3184,5.53,24.94,6,19,2957.69,1
CUST_3185,13.37,65.19,4,23,2474.42,0
CUST_3186,16.44,74.94,4,19,2656.85,0
CUST_3187,11.33,50.31,7,27,3440.63,1
CUST_3188,10.83,51.22,2,16,2728.67,1
CUST_3189,5.22,16.84,28,104,20.0,1
CUST_3190,2.32,11.13,19,73,20.0,1
CUST_3191,18.0,83.29,7,26,1581.61,1
CUST_3192,18.06,76.83,2,10,3432.29,0
CUST_3193,12.85,61.24,7,30,515.5,0
CUST_3194,7.11,33.02,2,6,1031.1,0
CUST_3195,7.31,31.65,1,9,1612.85,0
CUST_3196,14.66,67.85,2,11,1044.97,1
CUST_3197,17.99,87.78,5,20,656.23,0
CUST_3198,17.8,80.64,10,37,560.15,1
CUST_3199,15.71,71.43,6,24,3509.29,1
CUST_3200,13.02,57.21,7,36,1498.56,0
CUST_3201,2.14,7.08,3,11,577.42,0
CUST_3202,3.65,18.92,4,15,137.52,1
CUST_3203,18.02,78.53,2,12,3140.22,0
CUST_3204,12.33,55.68,24,72,20.0,1
CUST_3205,0.68,1.62,2,2,4094.22,0
CUST_3206,2.48,12.59,11,36,1717.49,1
CUST_3207,13.44,61.47,4,27,3310.1,0
CUST_3208,0.6,5.81,6,14,970.66,0
CUST_3209,3.64,14.83,7,35,2459.02,1
CUST_3210,11.2,49.59,4,20,860.44,1
CUST_3211,13.99,60.03,12,40,3047.91,1
CUST_3212,13.21,58.13,12,46,1370.53,1
CUST_3213,4.87,23.06,4,17,1251.95,0
CUST_3214,14.39,67.01,2,17,1161.32,0
CUST_3215,5.13,20.3,4,19,317.66,0
CUST_3216,6.85,33.41,12,45,1556.1,1
CUST_3217,15.06,71.82,3,17,982.46,0
CUST_3218,13.17,60.5,8,30,2236.65,1
CUST_3219,17.06,82.4,7,29,597.93,1
CUST_3220,13.32,57.63,7,28,2286.9,0
CUST_3221,11.58,48.39,1,14,3980.35,1
CUST_3222,2.33,5.13,8,28,2905.79,1
CUST_3223,7.67,39.01,13,46,1910.37,1
CUST_3224,5.67,27.48,3,7,861.39,0
CUST_3225,5.26,23.49,3,14,316.12,0
CUST_3226,19.47,88.47,19,60,681.51,1
CUST_3227,8.17,33.37,3,9,1745.19,0
CUST_3228,17.89,87.86,11,44,677.06,1
CUST_3229,12.81,58.02,5,15,20.0,0
CUST_3230,16.0,72.32,3,7,1144.73,0
CUST_3231,10.3,48.53,12,35,20.0,1
CUST_3232,11.75,54.32,4,24,3936.54,0
CUST_3233,10.1,46.14,4,20,714.06,0
CUST_3234,4.31,17.01,2,14,2474.88,0
CUST_3235,14.59,67.06,6,27,20.0,0
CUST_3236,5.98,32.53,2,16,3224.71,0
CUST_3237,0.97,8.42,2,14,1285.98,0
CUST_3238,13.09,63.67,19,67,1710.08,1
CUST_3239,3.95,16.26,4,17,4212.91,0
CUST_3240,18.84,81.81,6,27,838.52,1
CUST_3241,19.1,85.58,4,9,4200.05,0
CUST_3242,18.34,82.7,7,37,3793.26,0
CUST_3243,7.72,38.01,2,11,4032.32,1
CUST_3244,0.8,-1.47,20,61,1439.38,1
CUST_3245,18.6,88.3,4,17,836.34,0
CUST_3246,8.85,39.35,4,6,2710.44,0
CUST_3247,19.35,85.79,0,4,368.48,0
CUST_3248,19.29,83.77,3,15,416.27,0
CUST_3249,17.13,72.14,4,13,4407.78,0
CUST_3250,6.24,30.56,4,13,1371.74,0
CUST_3251,8.01,36.26,9,37,2353.77,0
CUST_3252,17.1,73.07,5,11,3601.72,0
CUST_3253,6.68,26.17,1,19,4075.54,0
CUST_3254,3.81,16.12,5,20,4220.3,1
CUST_3255,11.36,56.12,6,25,301.87,1
CUST_3256,18.76,83.62,2,8,151.5,0
CUST_3257,14.07,58.82,3,7,1968.07,1
CUST_3258,11.62,51.54,3,2,707.51,0
CUST_3259,2.39,9.96,7,33,20.0,1
CUST_3260,12.49,48.13,6,32,994.04,0
CUST_3261,19.81,88.96,4,14,3425.39,0
CUST_3262,3.23,13.85,9,40,1387.09,1
CUST_3263,10.61,49.82,9,38,322.05,1
CUST_3264,17.61,84.79,5,27,2602.01,1
CUST_3265,14.94,70.63,12,39,20.0,1
CUST_3266,14.09,62.61,1,9,20.0,0
CUST_3267,14.2,60.57,1,7,3750.38,0
CUST_3268,7.51,41.52,2,16,2904.85,0
CUST_3269,6.23,28.19,0,13,3788.26,0
CUST_3270,16.28,73.31,8,16,20.0,1
CUST_3271,16.3,73.27,15,50,1995.18,0
CUST_3272,17.41,78.93,2,14,3103.57,1
CUST_3273,18.31,81.95,1,14,2756.45,0
CUST_3274,10.47,45.4,4,24,2679.13,0
CUST_3275,10.28,44.62,16,55,2162.76,1
CUST_3276,16.07,72.2,3,13,2671.97,1
CUST_3277,13.17,57.65,5,21,2380.48,0
CUST_3278,14.19,61.71,2,11,4920.36,0
CUST_3279,16.02,72.4,2,5,3679.52,0
CUST_3280,17.86,79.58,25,78,20.0,1
CUST_3281,7.09,36.42,19,65,881.6,1
CUST_3282,7.82,27.25,1,3,2003.27,0
CUST_3283,2.33,13.77,16,60,20.0,1
CUST_3284,11.78,56.73,7,25,2209.21,1
CUST_3285,1.2,-0.82,10,47,3028.62,1
CUST_3286,9.58,42.08,3,11,4167.59,0
CUST_3287,11.08,48.75,5,16,1195.47,0
CUST_3288,6.09,23.17,4,20,2148.75,0
CUST_3289,12.02,51.76,5,23,257.65,1
CUST_3290,1.09,1.59,2,13,4858.26,0
CUST_3291,1.23,10.78,3,12,4883.13,1
CUST_3292,16.54,77.24,3,8,2988.14,1
CUST_3293,7.52,37.67,6,28,3065.87,0
CUST_3294,2.98,15.56,1,12,3423.62,0
CUST_3295,10.68,44.69,7,24,2111.18,1
CUST_3296,15.51,68.24,21,70,20.0,1
CUST_3297,4.71,22.66,0,14,2249.46,1
CUST_3298,12.65,53.24,8,29,2513.19,0
CUST_3299,2.16,11.88,3,20,2950.67,0
CUST_3300,1.51,6.06,14,40,307.48,1
CUST_3301,10.86,47.75,2,17,4558.31,0
CUST_3302,11.04,51.82,6,30,20.0,0
CUST_3303,12.93,59.52,10,40,1095.06,0
CUST_3304,14.66,64.88,16,59,1170.59,1
CUST_3305,19.53,91.36,8,23,2596.26,1
CUST_3306,10.57,44.31,4,23,2728.32,1
CUST_3307,6.8,32.44,6,19,679.36,0
CUST_3308,16.01,73.81,11,38,20.0,1
CUST_3309,5.78,25.09,7,19,2539.8,1
CUST_3310,9.06,41.75,1,15,3011.89,0
CUST_3311,2.03,5.38,13,56,20.0,1
CUST_3312,0.99,7.25,6,30,2619.46,0
CUST_3313,19.27,86.17,6,29,1427.46,1
CUST_3314,16.8,74.04,2,13,3177.68,1
CUST_3315,14.07,66.47,5,31,3342.67,0
CUST_3316,8.47,36.02,3,16,531.15,0
CUST_3317,3.88,13.23,6,23,20.0,0
CUST_3318,3.55,11.31,2,5,3827.43,0
CUST_3319,5.38,26.03,6,29,2229.52,1
CUST_3320,11.21,46.6,37,130,20.0,1
CUST_3321,14.43,70.22,1,7,4167.43,0
CUST_3322,13.37,53.94,19,62,1009.88,1
CUST_3323,5.96,31.9,3,21,4390.58,0
CUST_3324,19.12,86.67,10,34,1089.26,1
CUST_3325,14.89,66.71,8,35,1273.6,1
CUST_3326,11.31,49.26,4,28,1399.6,0
CUST_3327,12.43,57.13,9,29,20.0,0
CUST_3328,8.68,38.96,11,38,1219.4,1
CUST_3329,5.33,27.3,5,19,1043.16,1
CUST_3330,7.44,33.83,3,19,4297.56,1
CUST_3331,15.28,69.2,6,26,2076.52,0
CUST_3332,0.78,2.42,10,41,1685.35,0
CUST_3333,2.76,12.26,9,25,689.78,1
CUST_3334,1.4,7.21,8,34,20.0,1
CUST_3335,1.29,0.69,4,20,20.0,0
CUST_3336,17.18,73.27,11,40,812.07,0
CUST_3337,14.22,66.23,2,6,411.91,1
CUST_3338,9.75,44.37,7,25,2444.48,1
CUST_3339,2.41,10.28,1,9,4412.15,0
CUST_3340,10.09,45.44,2,13,4112.34,1
CUST_3341,9.73,44.84,2,10,2964.17,0
CUST_3342,3.88,15.83,5,21,731.46,0
CUST_3343,8.96,37.99,7,22,3377.5,1
CUST_3344,8.27,37.81,3,13,4048.31,0
CUST_3345,12.51,53.36,4,15,587.23,0
CUST_3346,12.88,59.2,1,18,3496.42,1
CUST_3347,1.38,1.12,2,18,1130.18,0
CUST_3348,7.8,38.21,1,16,3826.68,0
CUST_3349,12.7,58.59,3,6,4925.66,0
CUST_3350,10.31,47.17,6,25,20.0,1
CUST_3351,17.2,80.36,8,27,3614.48,1
CUST_3352,13.34,65.05,7,28,2377.89,1
CUST_3353,3.68,19.59,4,24,4371.43,0
CUST_3354,1.88,2.92,3,9,1996.39,0
CUST_3355,13.03,54.78,10,42,2660.03,1
CUST_3356,1.02,2.7,5,13,20.0,1
CUST_3357,11.92,53.73,4,19,1220.98,1
CUST_3358,18.83,86.31,0,5,407.6,0
CUST_3359,11.72,50.57,2,12,4545.26,0
CUST_3360,8.07,36.87,3,14,3720.49,1
CUST_3361,13.04,56.43,6,18,3870.39,0
CUST_3362,9.44,40.63,5,20,4001.7,1
CUST_3363,11.14,45.91,4,23,20.0,0
CUST_3364,18.86,82.09,5,22,1240.43,0
CUST_3365,8.03,32.08,8,25,20.0,1
CUST_3366,19.24,83.67,12,39,20.0,1
CUST_3367,18.15,84.86,6,25,210.86,1
CUST_3368,4.32,16.58,17,57,20.0,1
CUST_3369,1.85,16.23,2,11,1401.23,0
CUST_3370,2.47,12.57,2,9,420.49,0
CUST_3371,0.86,4.4,1,2,914.63,0
CUST_3372,2.34,7.96,6,23,20.0,0
CUST_3373,13.82,64.28,11,51,3041.61,1
CUST_3374,1.89,6.77,1,14,3597.31,1
CUST_3375,6.72,30.61,15,52,2747.82,1
CUST_3376,16.98,84.07,0,11,2205.0,0
CUST_3377,0.95,4.0,15,47,20.0,1
CUST_3378,16.38,77.17,4,14,3665.01,0
CUST_3379,6.0,24.87,1,13,1613.09,1
CUST_3380,2.8,12.51,5,13,1034.75,0
CUST_3381,14.09,68.7,1,10,1001.87,1
CUST_3382,12.76,55.56,3,10,467.19,0
CUST_3383,17.61,84.69,4,13,1062.95,0
CUST_3384,14.83,68.88,8,41,541.32,0
CUST_3385,16.17,71.07,4,14,2782.81,0
CUST_3386,6.0,28.9,3,14,108.2,0
CUST_3387,3.96,20.74,5,19,377.51,0
CUST_3388,15.14,69.98,7,35,3056.77,1
CUST_3389,16.23,68.34,2,8,565.27,0
CUST_3390,19.81,86.99,4,15,1352.03,0
CUST_3391,8.55,37.71,2,13,4232.85,0
CUST_3392,7.75,34.67,5,14,699.25,0
CUST_3393,15.64,72.24,8,25,20.0,1
CUST_3394,7.15,32.69,1,9,2314.07,0
CUST_3395,18.65,79.92,5,18,986.03,0
CUST_3396,17.24,78.72,7,24,1873.03,1
CUST_3397,8.87,41.73,3,6,3948.22,0
CUST_3398,15.14,69.82,4,21,101.84,0
CUST_3399,15.21,71.7,1,10,2708.25,0
CUST_3400,2.51,13.8,16,58,20.0,1
CUST_3401,18.1,82.83,3,21,277.37,0
CUST_3402,10.35,46.38,8,41,1845.71,1
CUST_3403,16.62,69.79,4,22,801.63,0
CUST_3404,6.74,31.62,2,3,2454.88,1
CUST_3405,17.96,81.46,6,18,20.0,0
CUST_3406,8.09,37.22,16,63,20.0,0
CUST_3407,0.71,-0.63,6,20,865.41,1
CUST_3408,18.15,78.45,12,30,2761.43,1
CUST_3409,2.28,13.42,12,44,20.0,1
CUST_3410,6.73,30.15,2,14,1944.08,0
CUST_3411,19.03,87.66,2,14,2155.66,0
CUST_3412,19.04,85.75,5,20,2897.23,1
CUST_3413,11.68,52.66,6,10,2490.51,1
CUST_3414,12.82,60.51,10,44,1903.97,0
CUST_3415,9.24,40.05,13,41,2065.29,1
CUST_3416,6.22,28.27,3,17,3975.95,0
CUST_3417,6.91,29.7,3,15,1421.73,0
CUST_3418,13.61,59.96,10,34,1523.1,1
CUST_3419,15.17,67.34,4,11,3959.48,0
CUST_3420,15.94,72.38,9,32,3564.77,1
CUST_3421,15.9,70.1,3,18,4017.69,0
CUST_3422,2.28,14.02,7,31,1039.18,0
CUST_3423,10.14,42.95,2,16,975.99,0
CUST_3424,1.62,6.74,8,18,1715.79,1
CUST_3425,11.22,49.15,5,13,3253.2,0
CUST_3426,9.11,45.34,5,28,1806.9,1
CUST_3427,17.81,80.74,1,14,2320.43,0
CUST_3428,7.34,36.14,9,35,3139.23,1
CUST_3429,2.78,8.07,11,36,281.84,1
CUST_3430,3.29,15.6,3,13,4117.56,0
CUST_3431,15.35,71.74,3,12,2012.86,0
CUST_3432,12.56,56.75,1,11,1689.2,1
CUST_3433,2.47,14.32,7,23,1502.84,1
CUST_3434,2.14,8.08,5,16,3088.64,0
CUST_3435,14.17,67.99,4,22,84.45,0
CUST_3436,1.92,15.53,2,9,851.34,1
CUST_3437,16.53,73.28,2,15,4365.45,0
CUST_3438,14.27,62.89,6,29,237.85,1
CUST_3439,2.09,13.75,6,18,2332.5,0
CUST_3440,2.15,14.43,22,83,20.0,1
CUST_3441,19.74,87.26,4,6,2381.81,0
CUST_3442,7.8,33.83,9,29,2308.92,1
CUST_3443,7.73,33.93,5,23,811.71,1
CUST_3444,16.35,69.54,4,11,2360.87,1
CUST_3445,18.97,82.62,7,21,912.11,1
CUST_3446,19.73,85.76,6,26,2398.91,1
CUST_3447,15.19,66.06,24,78,20.0,1
CUST_3448,7.84,35.16,1,14,2787.36,0
CUST_3449,2.13,10.28,3,16,919.87,0
CUST_3450,15.65,75.1,8,28,434.48,1
CUST_3451,11.39,48.25,4,18,480.74,1
CUST_3452,8.77,42.43,4,12,739.56,0
CUST_3453,18.17,81.14,0,12,4079.78,0
CUST_3454,2.67,11.86,0,3,1428.33,1
CUST_3455,10.11,47.5,12,45,2846.01,1
CUST_3456,0.72,-0.12,1,13,4682.22,0
CUST_3457,9.64,44.52,2,16,2586.67,0
CUST_3458,1.6,7.69,3,9,595.08,0
CUST_3459,2.82,14.15,3,18,1584.49,1
CUST_3460,2.79,13.43,1,3,3951.33,1
CUST_3461,13.16,66.58,7,16,1314.6,0
CUST_3462,15.05,65.8,1,14,470.38,0
CUST_3463,11.88,51.85,10,37,1539.27,0
CUST_3464,19.26,84.81,2,5,4028.13,0
CUST_3465,7.81,33.48,4,17,3378.8,1
CUST_3466,6.07,25.41,12,38,20.0,1
CUST_3467,17.44,82.04,8,22,2554.68,1
CUST_3468,4.86,26.13,5,17,571.4,0
CUST_3469,19.28,85.06,3,8,855.57,0
CUST_3470,0.74,0.82,3,14,4058.98,0
CUST_3471,19.41,88.77,6,29,437.69,0
CUST_3472,1.34,4.38,27,92,20.0,1
CUST_3473,17.88,82.35,6,28,20.0,0
CUST_3474,10.79,49.16,4,15,3713.51,0
CUST_3475,19.86,84.84,8,35,2934.32,1
CUST_3476,1.94,13.37,3,23,2673.21,1
CUST_3477,11.3,56.24,1,13,3726.68,0
CUST_3478,19.4,85.47,5,26,184.07,1
CUST_3479,10.7,46.99,16,65,20.0,1
CUST_3480,12.77,58.34,2,12,1666.78,0
CUST_3481,14.07,64.31,6,23,20.0,0
CUST_3482,9.36,44.11,1,13,2302.59,1
CUST_3483,12.74,63.35,4,24,3997.62,0
CUST_3484,11.89,52.99,2,13,214.95,0
CUST_3485,18.07,78.93,5,18,1049.35,0
CUST_3486,1.39,2.1,8,25,20.0,1
CUST_3487,5.98,24.71,3,13,925.28,0
CUST_3488,19.03,85.55,6,31,3676.64,1
CUST_3489,17.86,85.75,9,35,1123.98,1
CUST_3490,9.39,40.68,14,50,289.08,1
CUST_3491,12.59,57.34,1,9,3612.89,0
CUST_3492,5.91,26.54,6,14,449.26,0
CUST_3493,4.17,22.32,3,16,2355.31,1
CUST_3494,9.54,50.52,24,89,20.0,1
CUST_3495,7.39,31.66,15,54,931.02,1
CUST_3496,11.88,52.0,4,20,4376.68,0
CUST_3497,2.02,12.2,11,39,2394.0,1
CUST_3498,19.5,89.8,5,16,1460.77,1
CUST_3499,19.73,94.33,6,27,3373.36,0
