transaction_id,timestamp,status,payment_method,customer_type,region,device_type,error_message,amount
TXN-100033,2026-01-08 00:33:00,success,bank_transfer,SMB,EU,web,None,439.28
TXN-100034,2026-01-08 00:34:00,success,bank_transfer,SMB,EU,web,None,159.07
TXN-100035,2026-01-08 00:35:00,success,crypto,Startup,EU,mobile_ios,None,71.89
TXN-100036,2026-01-08 00:36:00,success,credit_card,SMB,LATAM,mobile_android,None,192.35
TXN-100037,2026-01-08 00:37:00,success,credit_card,Enterprise,EU,web,None,2356.97
TXN-100038,2026-01-08 00:38:00,success,debit_card,Startup,APAC,mobile_android,None,51.0
TXN-100039,2026-01-08 00:39:00,success,credit_card,Startup,US,web,None,61.25
TXN-100040,2026-01-08 00:40:00,success,credit_card,Enterprise,US,web,None,1062.42
TXN-100041,2026-01-08 00:41:00,failed,credit_card,SMB,US,mobile_android,Insufficient funds,405.39
TXN-100042,2026-01-08 00:42:00,success,credit_card,SMB,US,mobile_ios,None,324.65
TXN-100043,2026-01-08 00:43:00,success,bank_transfer,Enterprise,LATAM,mobile_ios,None,1494.81
TXN-100044,2026-01-08 00:44:00,success,credit_card,Startup,LATAM,mobile_android,None,59.42
TXN-100045,2026-01-08 00:45:00,success,debit_card,SMB,APAC,web,None,493.75
TXN-100046,2026-01-08 00:46:00,success,credit_card,Startup,EU,web,None,72.36
TXN-100047,2026-01-08 00:47:00,success,credit_card,SMB,APAC,mobile_ios,None,346.56
TXN-100048,2026-01-08 00:48:00,success,credit_card,SMB,EU,web,None,468.31
TXN-100049,2026-01-08 00:49:00,success,credit_card,Enterprise,US,mobile_ios,None,2474.29
TXN-100050,2026-01-08 00:50:00,success,bank_transfer,SMB,EU,web,None,245.15
TXN-100051,2026-01-08 00:51:00,success,debit_card,Enterprise,EU,mobile_ios,None,1970.93
TXN-100052,2026-01-08 00:52:00,success,bank_transfer,SMB,US,mobile_android,None,156.44
TXN-100053,2026-01-08 00:53:00,success,crypto,SMB,US,mobile_ios,None,423.84
TXN-100054,2026-01-08 00:54:00,success,debit_card,Startup,US,mobile_ios,None,38.26
TXN-100055,2026-01-08 00:55:00,success,bank_transfer,SMB,EU,web,None,401.98
TXN-100056,2026-01-08 00:56:00,success,credit_card,Startup,US,web,None,56.66
TXN-100057,2026-01-08 00:57:00,success,credit_card,SMB,EU,mobile_android,None,490.75
TXN-100058,2026-01-08 00:58:00,success,credit_card,Startup,US,mobile_ios,None,64.12
TXN-100059,2026-01-08 00:59:00,success,credit_card,Startup,US,mobile_ios,None,65.78
TXN-100060,2026-01-08 01:00:00,success,credit_card,SMB,APAC,web,None,353.72
TXN-100061,2026-01-08 01:01:00,success,credit_card,Startup,EU,web,None,43.29
TXN-100062,2026-01-08 01:02:00,success,crypto,SMB,US,mobile_ios,None,217.89
TXN-100063,2026-01-08 01:03:00,success,credit_card,Startup,APAC,mobile_ios,None,87.85
TXN-100064,2026-01-08 01:04:00,success,credit_card,SMB,US,web,None,185.99
TXN-100065,2026-01-08 01:05:00,success,credit_card,SMB,APAC,web,None,463.77
TXN-100066,2026-01-08 01:06:00,success,credit_card,SMB,EU,web,None,140.65
TXN-100067,2026-01-08 01:07:00,success,crypto,Enterprise,US,web,None,1129.45
TXN-100068,2026-01-08 01:08:00,success,credit_card,SMB,EU,web,None,349.76
TXN-100069,2026-01-08 01:09:00,success,bank_transfer,Startup,US,web,None,56.1
TXN-100070,2026-01-08 01:10:00,success,debit_card,Startup,US,mobile_android,None,87.5
TXN-100071,2026-01-08 01:11:00,success,credit_card,SMB,US,mobile_android,None,215.8
TXN-100072,2026-01-08 01:12:00,success,credit_card,Startup,US,web,None,47.16
TXN-100073,2026-01-08 01:13:00,success,crypto,Startup,EU,web,None,97.12
TXN-100074,2026-01-08 01:14:00,success,debit_card,SMB,APAC,web,None,258.3
TXN-100075,2026-01-08 01:15:00,success,debit_card,Enterprise,APAC,mobile_ios,None,1392.46
TXN-100076,2026-01-08 01:16:00,success,debit_card,Enterprise,US,web,None,577.4
TXN-100077,2026-01-08 01:17:00,success,credit_card,Startup,EU,web,None,96.18
TXN-100078,2026-01-08 01:18:00,success,credit_card,Startup,US,web,None,82.34
TXN-100079,2026-01-08 01:19:00,success,credit_card,SMB,EU,web,None,344.43
TXN-100080,2026-01-08 01:20:00,success,crypto,SMB,APAC,web,None,423.42
TXN-100081,2026-01-08 01:21:00,success,debit_card,Startup,US,web,None,99.83
TXN-100082,2026-01-08 01:22:00,success,credit_card,Startup,LATAM,mobile_android,None,77.51
TXN-100083,2026-01-08 01:23:00,success,credit_card,Startup,APAC,mobile_ios,None,28.08
TXN-100084,2026-01-08 01:24:00,success,credit_card,SMB,APAC,web,None,453.15
TXN-100085,2026-01-08 01:25:00,success,credit_card,SMB,EU,web,None,177.55
TXN-100086,2026-01-08 01:26:00,success,debit_card,SMB,APAC,web,None,402.71
TXN-100087,2026-01-08 01:27:00,success,debit_card,SMB,LATAM,web,None,109.2
TXN-100088,2026-01-08 01:28:00,success,crypto,Startup,APAC,mobile_ios,None,53.19
TXN-100089,2026-01-08 01:29:00,success,credit_card,SMB,US,web,None,493.97
TXN-100090,2026-01-08 01:30:00,success,credit_card,Startup,EU,web,None,87.07
TXN-100091,2026-01-08 01:31:00,success,debit_card,SMB,US,web,None,224.26
TXN-100092,2026-01-08 01:32:00,success,debit_card,Startup,LATAM,web,None,21.02
TXN-100093,2026-01-08 01:33:00,success,debit_card,SMB,LATAM,mobile_android,None,241.33
TXN-100094,2026-01-08 01:34:00,success,debit_card,SMB,EU,mobile_ios,None,475.53
TXN-100095,2026-01-08 01:35:00,success,credit_card,SMB,APAC,mobile_android,None,193.97
TXN-100096,2026-01-08 01:36:00,success,credit_card,Enterprise,LATAM,mobile_ios,None,1404.66
TXN-100097,2026-01-08 01:37:00,success,credit_card,Startup,US,web,None,51.23
TXN-100098,2026-01-08 01:38:00,success,credit_card,SMB,EU,web,None,418.12
TXN-100099,2026-01-08 01:39:00,success,credit_card,SMB,EU,mobile_ios,None,330.59
TXN-100100,2026-01-08 01:40:00,success,credit_card,Startup,APAC,mobile_android,None,74.72
TXN-100101,2026-01-08 01:41:00,success,debit_card,Startup,US,web,None,88.74
TXN-100102,2026-01-08 01:42:00,failed,credit_card,SMB,EU,web,User cancelled,187.66
TXN-100103,2026-01-08 01:43:00,success,credit_card,Startup,US,web,None,23.54
TXN-100104,2026-01-08 01:44:00,success,bank_transfer,Enterprise,US,mobile_ios,None,2176.3
TXN-100105,2026-01-08 01:45:00,success,credit_card,Enterprise,US,mobile_ios,None,1864.29
TXN-100106,2026-01-08 01:46:00,success,credit_card,SMB,US,mobile_android,None,292.1
TXN-100107,2026-01-08 01:47:00,success,debit_card,SMB,US,web,None,397.91
TXN-100108,2026-01-08 01:48:00,success,credit_card,SMB,EU,mobile_android,None,324.01
TXN-100109,2026-01-08 01:49:00,success,credit_card,SMB,EU,web,None,281.71
TXN-100110,2026-01-08 01:50:00,success,credit_card,SMB,US,web,None,417.84
TXN-100111,2026-01-08 01:51:00,success,credit_card,Startup,EU,web,None,68.7
TXN-100112,2026-01-08 01:52:00,success,bank_transfer,SMB,EU,web,None,465.09
TXN-100113,2026-01-08 01:53:00,success,crypto,Startup,US,web,None,83.31
TXN-100114,2026-01-08 01:54:00,success,debit_card,Startup,US,web,None,97.27
TXN-100115,2026-01-08 01:55:00,success,crypto,SMB,APAC,mobile_ios,None,159.67
TXN-100116,2026-01-08 01:56:00,success,crypto,SMB,US,mobile_android,None,427.67
TXN-100117,2026-01-08 01:57:00,success,credit_card,SMB,US,web,None,470.48
TXN-100118,2026-01-08 01:58:00,success,crypto,Startup,LATAM,web,None,80.82
TXN-100119,2026-01-08 01:59:00,success,credit_card,Enterprise,EU,web,None,1514.35
TXN-100120,2026-01-08 02:00:00,success,crypto,SMB,EU,web,None,477.47
TXN-100121,2026-01-08 02:01:00,success,crypto,Startup,EU,mobile_ios,None,26.32
TXN-100122,2026-01-08 02:02:00,success,credit_card,SMB,APAC,mobile_ios,None,404.44
TXN-100123,2026-01-08 02:03:00,success,credit_card,SMB,APAC,web,None,100.61
TXN-100124,2026-01-08 02:04:00,success,credit_card,SMB,US,web,None,189.08
TXN-100125,2026-01-08 02:05:00,success,credit_card,Startup,EU,web,None,58.06
TXN-100126,2026-01-08 02:06:00,success,crypto,Startup,EU,web,None,65.25
TXN-100127,2026-01-08 02:07:00,success,crypto,SMB,US,web,None,362.77
TXN-100128,2026-01-08 02:08:00,success,credit_card,SMB,LATAM,web,None,460.67
TXN-100129,2026-01-08 02:09:00,success,credit_card,Startup,US,web,None,20.55
TXN-100130,2026-01-08 02:10:00,success,credit_card,Startup,US,mobile_android,None,38.32
TXN-100131,2026-01-08 02:11:00,success,credit_card,Startup,LATAM,web,None,48.25
TXN-100132,2026-01-08 02:12:00,success,credit_card,SMB,US,mobile_ios,None,498.97
TXN-100133,2026-01-08 02:13:00,success,credit_card,Startup,US,web,None,49.13
TXN-100134,2026-01-08 02:14:00,success,bank_transfer,SMB,EU,web,None,128.79
TXN-100135,2026-01-08 02:15:00,success,credit_card,Enterprise,US,web,None,1840.28
TXN-100136,2026-01-08 02:16:00,success,credit_card,Startup,APAC,web,None,81.08
TXN-100137,2026-01-08 02:17:00,success,debit_card,SMB,US,web,None,271.33
TXN-100138,2026-01-08 02:18:00,success,credit_card,Startup,US,web,None,48.07
TXN-100139,2026-01-08 02:19:00,success,bank_transfer,Enterprise,US,web,None,1673.11
TXN-100140,2026-01-08 02:20:00,success,bank_transfer,Startup,EU,web,None,37.34
TXN-100141,2026-01-08 02:21:00,success,credit_card,SMB,US,mobile_ios,None,209.23
TXN-100142,2026-01-08 02:22:00,success,credit_card,SMB,EU,web,None,132.95
TXN-100143,2026-01-08 02:23:00,success,credit_card,Enterprise,APAC,web,None,649.18
TXN-100144,2026-01-08 02:24:00,success,credit_card,SMB,LATAM,mobile_ios,None,251.35
TXN-100145,2026-01-08 02:25:00,success,credit_card,Startup,EU,mobile_ios,None,48.4
TXN-100146,2026-01-08 02:26:00,success,debit_card,SMB,US,mobile_android,None,477.99
TXN-100147,2026-01-08 02:27:00,success,credit_card,SMB,EU,web,None,135.34
TXN-100148,2026-01-08 02:28:00,success,credit_card,SMB,EU,web,None,373.75
TXN-100149,2026-01-08 02:29:00,success,credit_card,Startup,APAC,mobile_android,None,84.12
TXN-100150,2026-01-08 02:30:00,success,bank_transfer,SMB,APAC,web,None,358.82
TXN-100151,2026-01-08 02:31:00,success,credit_card,SMB,LATAM,mobile_ios,None,231.48
TXN-100152,2026-01-08 02:32:00,success,credit_card,SMB,APAC,web,None,213.81
TXN-100153,2026-01-08 02:33:00,success,credit_card,Startup,US,mobile_ios,None,27.9
TXN-100154,2026-01-08 02:34:00,success,bank_transfer,SMB,EU,mobile_ios,None,203.59
TXN-100155,2026-01-08 02:35:00,success,credit_card,Enterprise,APAC,web,None,1237.05
TXN-100156,2026-01-08 02:36:00,success,debit_card,Startup,APAC,web,None,69.95
TXN-100157,2026-01-08 02:37:00,success,debit_card,SMB,LATAM,mobile_android,None,145.07
TXN-100158,2026-01-08 02:38:00,success,credit_card,Enterprise,EU,web,None,2090.19
TXN-100159,2026-01-08 02:39:00,success,debit_card,Startup,EU,web,None,79.77
TXN-100160,2026-01-08 02:40:00,success,credit_card,SMB,US,mobile_android,None,394.41
TXN-100161,2026-01-08 02:41:00,success,debit_card,SMB,EU,mobile_ios,None,210.23
TXN-100162,2026-01-08 02:42:00,success,debit_card,SMB,EU,web,None,217.77
TXN-100163,2026-01-08 02:43:00,success,credit_card,Startup,LATAM,mobile_ios,None,47.81
TXN-100164,2026-01-08 02:44:00,success,credit_card,SMB,LATAM,web,None,193.79
TXN-100165,2026-01-08 02:45:00,success,crypto,SMB,APAC,web,None,250.89
TXN-100166,2026-01-08 02:46:00,success,credit_card,Enterprise,US,web,None,1475.25
TXN-100167,2026-01-08 02:47:00,success,credit_card,Startup,US,web,None,78.02
TXN-100168,2026-01-08 02:48:00,success,credit_card,SMB,EU,web,None,486.64
TXN-100169,2026-01-08 02:49:00,success,debit_card,SMB,US,web,None,331.84
TXN-100170,2026-01-08 02:50:00,success,debit_card,SMB,US,web,None,231.44
TXN-100171,2026-01-08 02:51:00,success,credit_card,SMB,APAC,web,None,172.72
TXN-100172,2026-01-08 02:52:00,failed,credit_card,Startup,US,web,User cancelled,33.2
TXN-100173,2026-01-08 02:53:00,success,credit_card,SMB,US,web,None,106.42
TXN-100174,2026-01-08 02:54:00,success,debit_card,Startup,EU,web,None,97.86
TXN-100175,2026-01-08 02:55:00,success,credit_card,SMB,LATAM,web,None,484.01
TXN-100176,2026-01-08 02:56:00,success,debit_card,Startup,APAC,web,None,76.01
TXN-100177,2026-01-08 02:57:00,success,credit_card,Enterprise,LATAM,web,None,847.79
TXN-100178,2026-01-08 02:58:00,success,bank_transfer,SMB,APAC,web,None,419.51
TXN-100179,2026-01-08 02:59:00,success,credit_card,Startup,US,mobile_android,None,42.77
TXN-100180,2026-01-08 03:00:00,success,credit_card,Startup,LATAM,web,None,47.5
TXN-100181,2026-01-08 03:01:00,success,credit_card,SMB,US,mobile_android,None,304.72
TXN-100182,2026-01-08 03:02:00,success,bank_transfer,SMB,US,mobile_android,None,154.35
TXN-100183,2026-01-08 03:03:00,success,crypto,Enterprise,US,mobile_ios,None,1760.59
TXN-100184,2026-01-08 03:04:00,success,credit_card,Startup,APAC,web,None,70.89
TXN-100185,2026-01-08 03:05:00,success,debit_card,SMB,LATAM,mobile_ios,None,365.33
TXN-100186,2026-01-08 03:06:00,success,crypto,SMB,US,mobile_android,None,161.9
TXN-100187,2026-01-08 03:07:00,success,debit_card,Enterprise,EU,mobile_ios,None,921.65
TXN-100188,2026-01-08 03:08:00,success,credit_card,Startup,APAC,web,None,80.04
TXN-100189,2026-01-08 03:09:00,success,credit_card,SMB,US,web,None,351.42
TXN-100190,2026-01-08 03:10:00,success,credit_card,SMB,APAC,web,None,120.83
TXN-100191,2026-01-08 03:11:00,success,crypto,SMB,EU,web,None,492.08
TXN-100192,2026-01-08 03:12:00,failed,bank_transfer,SMB,US,web,Network timeout,375.97
TXN-100193,2026-01-08 03:13:00,success,debit_card,SMB,US,web,None,388.7
TXN-100194,2026-01-08 03:14:00,success,credit_card,Startup,US,web,None,71.37
TXN-100195,2026-01-08 03:15:00,success,credit_card,Startup,APAC,mobile_ios,None,67.49
TXN-100196,2026-01-08 03:16:00,success,debit_card,SMB,LATAM,web,None,375.13
TXN-100197,2026-01-08 03:17:00,success,crypto,Startup,EU,web,None,47.52
TXN-100198,2026-01-08 03:18:00,success,crypto,SMB,APAC,mobile_ios,None,458.14
TXN-100199,2026-01-08 03:19:00,success,debit_card,SMB,EU,web,None,348.58
TXN-100200,2026-01-08 03:20:00,success,debit_card,Startup,US,mobile_ios,None,89.24
TXN-100201,2026-01-08 03:21:00,success,credit_card,SMB,EU,web,None,345.45
TXN-100202,2026-01-08 03:22:00,success,credit_card,SMB,EU,mobile_ios,None,421.09
TXN-100203,2026-01-08 03:23:00,success,crypto,Startup,US,mobile_ios,None,79.25
TXN-100204,2026-01-08 03:24:00,success,debit_card,Enterprise,US,mobile_ios,None,1239.76
TXN-100205,2026-01-08 03:25:00,success,credit_card,Startup,LATAM,web,None,49.23
TXN-100206,2026-01-08 03:26:00,success,credit_card,Startup,EU,mobile_android,None,80.22
TXN-100207,2026-01-08 03:27:00,success,debit_card,SMB,US,web,None,449.66
TXN-100208,2026-01-08 03:28:00,success,credit_card,Enterprise,US,web,None,793.44
TXN-100209,2026-01-08 03:29:00,success,credit_card,SMB,US,mobile_ios,None,338.44
TXN-100210,2026-01-08 03:30:00,success,credit_card,Enterprise,US,web,None,558.01
TXN-100211,2026-01-08 03:31:00,success,debit_card,SMB,US,web,None,360.94
TXN-100212,2026-01-08 03:32:00,success,debit_card,Startup,US,mobile_ios,None,27.2
TXN-100213,2026-01-08 03:33:00,success,credit_card,SMB,US,web,None,467.88
TXN-100214,2026-01-08 03:34:00,success,debit_card,SMB,EU,mobile_ios,None,359.16
TXN-100215,2026-01-08 03:35:00,success,credit_card,SMB,US,mobile_ios,None,252.8
TXN-100216,2026-01-08 03:36:00,success,credit_card,SMB,US,web,None,489.74
TXN-100217,2026-01-08 03:37:00,success,debit_card,Startup,US,mobile_ios,None,55.08
TXN-100218,2026-01-08 03:38:00,success,debit_card,SMB,US,web,None,412.22
TXN-100219,2026-01-08 03:39:00,success,crypto,Startup,US,web,None,76.78
TXN-100220,2026-01-08 03:40:00,success,debit_card,SMB,EU,web,None,391.43
TXN-100221,2026-01-08 03:41:00,success,debit_card,SMB,EU,web,None,111.97
TXN-100222,2026-01-08 03:42:00,success,credit_card,SMB,US,mobile_ios,None,129.45
TXN-100223,2026-01-08 03:43:00,success,credit_card,SMB,APAC,mobile_android,None,241.01
TXN-100224,2026-01-08 03:44:00,success,credit_card,SMB,EU,web,None,226.48
TXN-100225,2026-01-08 03:45:00,success,credit_card,SMB,US,web,None,325.52
TXN-100226,2026-01-08 03:46:00,success,bank_transfer,Startup,US,web,None,50.06
TXN-100227,2026-01-08 03:47:00,success,credit_card,SMB,LATAM,web,None,179.68
TXN-100228,2026-01-08 03:48:00,success,crypto,Startup,LATAM,web,None,95.35
TXN-100229,2026-01-08 03:49:00,success,debit_card,Enterprise,US,mobile_android,None,770.61
TXN-100230,2026-01-08 03:50:00,success,debit_card,SMB,US,web,None,121.19
TXN-100231,2026-01-08 03:51:00,success,credit_card,Enterprise,EU,web,None,750.23
TXN-100232,2026-01-08 03:52:00,success,debit_card,SMB,EU,web,None,403.48
TXN-100233,2026-01-08 03:53:00,success,credit_card,Startup,US,web,None,64.64
TXN-100234,2026-01-08 03:54:00,success,credit_card,Enterprise,EU,web,None,1120.21
TXN-100235,2026-01-08 03:55:00,success,debit_card,SMB,US,mobile_android,None,290.59
TXN-100236,2026-01-08 03:56:00,success,credit_card,Enterprise,US,web,None,1255.31
TXN-100237,2026-01-08 03:57:00,success,credit_card,SMB,EU,mobile_ios,None,219.78
TXN-100238,2026-01-08 03:58:00,success,debit_card,Startup,LATAM,web,None,75.33
TXN-100239,2026-01-08 03:59:00,success,credit_card,SMB,US,mobile_ios,None,108.58
TXN-100240,2026-01-08 04:00:00,success,bank_transfer,Startup,EU,web,None,49.12
TXN-100241,2026-01-08 04:01:00,success,bank_transfer,SMB,US,web,None,139.66
TXN-100242,2026-01-08 04:02:00,success,bank_transfer,Startup,US,web,None,99.07
TXN-100243,2026-01-08 04:03:00,success,credit_card,Startup,APAC,web,None,29.05
TXN-100244,2026-01-08 04:04:00,success,credit_card,SMB,EU,mobile_android,None,167.8
TXN-100245,2026-01-08 04:05:00,success,bank_transfer,SMB,EU,web,None,285.79
TXN-100246,2026-01-08 04:06:00,success,credit_card,Startup,US,mobile_ios,None,52.56
TXN-100247,2026-01-08 04:07:00,success,bank_transfer,SMB,US,mobile_android,None,159.95
TXN-100248,2026-01-08 04:08:00,success,bank_transfer,Startup,EU,web,None,33.27
TXN-100249,2026-01-08 04:09:00,success,crypto,SMB,US,mobile_android,None,378.43
TXN-100250,2026-01-08 04:10:00,success,credit_card,SMB,US,mobile_ios,None,243.77
TXN-100251,2026-01-08 04:11:00,success,credit_card,Startup,EU,web,None,77.92
TXN-100252,2026-01-08 04:12:00,success,crypto,SMB,US,mobile_ios,None,164.36
TXN-100253,2026-01-08 04:13:00,success,credit_card,SMB,US,web,None,324.23
TXN-100254,2026-01-08 04:14:00,success,credit_card,SMB,APAC,web,None,135.72
TXN-100255,2026-01-08 04:15:00,success,debit_card,SMB,US,web,None,166.99
TXN-100256,2026-01-08 04:16:00,success,bank_transfer,Startup,EU,mobile_android,None,78.01
TXN-100257,2026-01-08 04:17:00,success,debit_card,Startup,LATAM,web,None,57.04
TXN-100258,2026-01-08 04:18:00,success,debit_card,Startup,US,mobile_android,None,86.28
TXN-100259,2026-01-08 04:19:00,success,credit_card,SMB,US,web,None,420.18
TXN-100260,2026-01-08 04:20:00,success,debit_card,SMB,EU,mobile_ios,None,179.85
TXN-100261,2026-01-08 04:21:00,success,bank_transfer,Startup,EU,mobile_ios,None,23.51
TXN-100262,2026-01-08 04:22:00,success,credit_card,SMB,EU,mobile_android,None,135.61
TXN-100263,2026-01-08 04:23:00,success,credit_card,SMB,US,web,None,121.62
TXN-100264,2026-01-08 04:24:00,success,crypto,Startup,US,web,None,92.55
TXN-100265,2026-01-08 04:25:00,success,debit_card,SMB,US,mobile_ios,None,316.16
TXN-100266,2026-01-08 04:26:00,success,debit_card,SMB,EU,mobile_android,None,364.24
TXN-100267,2026-01-08 04:27:00,success,debit_card,Enterprise,US,web,None,1664.78
TXN-100268,2026-01-08 04:28:00,success,credit_card,Enterprise,APAC,mobile_ios,None,2215.6
TXN-100269,2026-01-08 04:29:00,success,credit_card,Enterprise,EU,web,None,2454.92
TXN-100270,2026-01-08 04:30:00,success,crypto,Startup,US,mobile_ios,None,32.25
TXN-100271,2026-01-08 04:31:00,failed,crypto,SMB,US,mobile_ios,Insufficient funds,444.48
TXN-100272,2026-01-08 04:32:00,success,crypto,SMB,US,mobile_ios,None,161.75
TXN-100273,2026-01-08 04:33:00,failed,bank_transfer,Startup,EU,web,Insufficient funds,91.34
TXN-100274,2026-01-08 04:34:00,success,credit_card,SMB,APAC,web,None,483.55
TXN-100275,2026-01-08 04:35:00,success,credit_card,SMB,US,web,None,486.9
TXN-100276,2026-01-08 04:36:00,success,debit_card,SMB,US,mobile_ios,None,400.02
TXN-100277,2026-01-08 04:37:00,success,debit_card,Startup,US,mobile_android,None,29.91
TXN-100278,2026-01-08 04:38:00,success,debit_card,Enterprise,US,web,None,1130.54
TXN-100279,2026-01-08 04:39:00,success,debit_card,Enterprise,EU,web,None,534.06
TXN-100280,2026-01-08 04:40:00,success,crypto,Enterprise,EU,web,None,2114.05
TXN-100281,2026-01-08 04:41:00,success,credit_card,SMB,US,mobile_ios,None,221.27
TXN-100282,2026-01-08 04:42:00,success,credit_card,SMB,EU,web,None,290.04
TXN-100283,2026-01-08 04:43:00,success,credit_card,SMB,US,mobile_ios,None,174.74
TXN-100284,2026-01-08 04:44:00,success,debit_card,SMB,US,web,None,390.04
TXN-100285,2026-01-08 04:45:00,failed,credit_card,SMB,US,web,Network timeout,300.88
TXN-100286,2026-01-08 04:46:00,success,credit_card,Enterprise,EU,mobile_android,None,1345.09
TXN-100287,2026-01-08 04:47:00,success,credit_card,Enterprise,US,mobile_ios,None,2336.26
TXN-100288,2026-01-08 04:48:00,success,credit_card,SMB,US,web,None,250.73
TXN-100289,2026-01-08 04:49:00,success,debit_card,Startup,US,web,None,73.09
TXN-100290,2026-01-08 04:50:00,success,credit_card,Startup,US,mobile_android,None,76.92
TXN-100291,2026-01-08 04:51:00,success,credit_card,Startup,US,web,None,51.05
TXN-100292,2026-01-08 04:52:00,success,crypto,SMB,US,mobile_ios,None,130.3
TXN-100293,2026-01-08 04:53:00,success,credit_card,SMB,US,web,None,163.56
TXN-100294,2026-01-08 04:54:00,success,credit_card,SMB,US,mobile_android,None,365.26
TXN-100295,2026-01-08 04:55:00,success,credit_card,SMB,US,web,None,497.67
TXN-100296,2026-01-08 04:56:00,success,debit_card,Enterprise,EU,web,None,1084.93
TXN-100297,2026-01-08 04:57:00,success,credit_card,SMB,EU,mobile_ios,None,303.37
TXN-100298,2026-01-08 04:58:00,success,debit_card,SMB,EU,web,None,311.13
TXN-100299,2026-01-08 04:59:00,success,credit_card,SMB,US,web,None,329.37
TXN-100300,2026-01-08 05:00:00,success,credit_card,SMB,US,web,None,416.91
TXN-100301,2026-01-08 05:01:00,success,credit_card,Enterprise,US,mobile_ios,None,1343.15
TXN-100302,2026-01-08 05:02:00,success,credit_card,SMB,US,web,None,147.11
TXN-100303,2026-01-08 05:03:00,success,debit_card,Enterprise,US,web,None,944.35
TXN-100304,2026-01-08 05:04:00,success,debit_card,Startup,US,web,None,59.01
TXN-100305,2026-01-08 05:05:00,success,bank_transfer,Enterprise,APAC,mobile_ios,None,1720.35
TXN-100306,2026-01-08 05:06:00,success,credit_card,SMB,US,mobile_android,None,268.25
TXN-100307,2026-01-08 05:07:00,success,credit_card,Startup,LATAM,web,None,30.42
TXN-100308,2026-01-08 05:08:00,success,debit_card,SMB,APAC,web,None,147.76
TXN-100309,2026-01-08 05:09:00,success,credit_card,Enterprise,APAC,mobile_ios,None,1436.24
TXN-100310,2026-01-08 05:10:00,success,credit_card,SMB,APAC,web,None,210.98
TXN-100311,2026-01-08 05:11:00,success,credit_card,Enterprise,US,mobile_ios,None,961.4
TXN-100312,2026-01-08 05:12:00,success,credit_card,SMB,US,web,None,139.6
