transactions_per_month,support_tickets,days_since_last_purchase,total_spent,churn
1.11,8,29,20.0,1
12.91,6,30,965.04,1
6.63,2,7,687.37,0
10.42,0,8,3464.71,0
18.2,13,54,20.0,1
5.36,7,26,1253.06,1
8.5,12,27,3214.99,0
15.23,4,14,575.66,1
4.96,4,3,2488.42,0
2.0,1,12,2047.44,0
6.15,9,26,20.0,1
3.64,3,12,3534.39,0
18.63,1,18,259.29,0
16.26,5,19,1882.67,0
12.85,2,5,2794.23,0
17.49,5,22,2481.53,1
16.17,3,16,3223.63,1
4.14,10,28,63.19,1
17.9,4,11,20.0,0
11.02,4,22,3158.98,0
16.25,0,8,2715.37,0
17.97,2,10,4136.81,0
6.7,3,15,3726.09,0
2.65,3,12,3709.25,0
4.94,7,18,1743.89,0
8.83,2,13,1458.91,0
16.45,6,23,3028.73,0
17.28,12,33,737.75,1
0.64,9,37,20.0,1
10.46,1,15,4257.03,1
8.64,4,23,3900.62,0
4.83,1,15,2296.23,0
2.84,1,9,249.22,1
7.08,22,84,20.0,1
18.89,3,6,3914.35,0
6.8,4,25,3965.95,1
10.62,7,30,326.82,0
14.21,7,30,20.0,1
7.59,4,28,3742.87,1
19.45,1,9,2000.23,0
19.27,3,11,2438.46,0
5.41,5,19,4260.15,1
10.2,1,11,352.59,0
6.37,3,9,2931.36,0
6.05,1,10,436.1,1
1.22,2,16,1874.33,0
12.39,5,12,3634.12,0
10.3,1,14,2110.1,0
1.5,4,27,4315.58,0
5.93,9,33,1903.82,0
18.21,9,40,383.79,0
5.17,1,12,999.88,0
3.33,2,18,1670.91,0
10.04,1,13,1837.05,0
19.72,9,19,20.0,1
5.22,7,27,930.28,1
13.61,1,12,2349.09,1
15.35,15,48,1439.66,1
5.13,1,11,3275.28,0
14.7,5,23,2949.47,1
7.67,6,23,20.0,1
12.83,10,42,20.0,1
12.85,6,32,2340.6,1
10.95,8,34,1177.06,1
2.26,3,8,20.0,0
16.79,9,28,2692.86,0
6.76,1,7,3819.96,0
4.14,13,50,985.61,1
1.3,4,17,20.0,1
12.02,9,37,2496.01,0
13.71,4,14,2478.55,0
0.82,5,22,3106.29,1
10.49,5,25,3185.64,1
4.92,8,32,2982.52,1
13.08,1,4,2570.12,0
3.9,1,8,737.79,0
13.97,4,6,3161.61,0
8.04,1,11,3001.27,0
18.77,10,43,2093.81,1
3.18,1,7,734.45,0
7.15,19,65,20.0,1
2.71,3,13,4134.35,0
18.53,1,17,3614.06,0
17.61,9,40,3302.95,0
5.53,6,19,2957.69,1
13.37,4,23,2474.42,0
16.44,4,19,2656.85,0
11.33,7,27,3440.63,1
10.83,2,16,2728.67,1
5.22,28,104,20.0,1
2.32,19,73,20.0,1
18.0,7,26,1581.61,1
18.06,2,10,3432.29,0
12.85,7,30,515.5,0
7.11,2,6,1031.1,0
7.31,1,9,1612.85,0
14.66,2,11,1044.97,1
17.99,5,20,656.23,0
17.8,10,37,560.15,1
15.71,6,24,3509.29,1
13.02,7,36,1498.56,0
2.14,3,11,577.42,0
3.65,4,15,137.52,1
18.02,2,12,3140.22,0
12.33,24,72,20.0,1
0.68,2,2,4094.22,0
2.48,11,36,1717.49,1
13.44,4,27,3310.1,0
0.6,6,14,970.66,0
3.64,7,35,2459.02,1
11.2,4,20,860.44,1
13.99,12,40,3047.91,1
13.21,12,46,1370.53,1
4.87,4,17,1251.95,0
14.39,2,17,1161.32,0
5.13,4,19,317.66,0
6.85,12,45,1556.1,1
15.06,3,17,982.46,0
13.17,8,30,2236.65,1
17.06,7,29,597.93,1
13.32,7,28,2286.9,0
11.58,1,14,3980.35,1
2.33,8,28,2905.79,1
7.67,13,46,1910.37,1
5.67,3,7,861.39,0
5.26,3,14,316.12,0
19.47,19,60,681.51,1
8.17,3,9,1745.19,0
17.89,11,44,677.06,1
12.81,5,15,20.0,0
16.0,3,7,1144.73,0
10.3,12,35,20.0,1
11.75,4,24,3936.54,0
10.1,4,20,714.06,0
4.31,2,14,2474.88,0
14.59,6,27,20.0,0
5.98,2,16,3224.71,0
0.97,2,14,1285.98,0
13.09,19,67,1710.08,1
3.95,4,17,4212.91,0
18.84,6,27,838.52,1
19.1,4,9,4200.05,0
18.34,7,37,3793.26,0
7.72,2,11,4032.32,1
0.8,20,61,1439.38,1
18.6,4,17,836.34,0
8.85,4,6,2710.44,0
19.35,0,4,368.48,0
19.29,3,15,416.27,0
17.13,4,13,4407.78,0
6.24,4,13,1371.74,0
8.01,9,37,2353.77,0
17.1,5,11,3601.72,0
6.68,1,19,4075.54,0
3.81,5,20,4220.3,1
11.36,6,25,301.87,1
18.76,2,8,151.5,0
14.07,3,7,1968.07,1
11.62,3,2,707.51,0
2.39,7,33,20.0,1
12.49,6,32,994.04,0
19.81,4,14,3425.39,0
3.23,9,40,1387.09,1
10.61,9,38,322.05,1
17.61,5,27,2602.01,1
14.94,12,39,20.0,1
14.09,1,9,20.0,0
14.2,1,7,3750.38,0
7.51,2,16,2904.85,0
6.23,0,13,3788.26,0
16.28,8,16,20.0,1
16.3,15,50,1995.18,0
17.41,2,14,3103.57,1
18.31,1,14,2756.45,0
10.47,4,24,2679.13,0
10.28,16,55,2162.76,1
16.07,3,13,2671.97,1
13.17,5,21,2380.48,0
14.19,2,11,4920.36,0
16.02,2,5,3679.52,0
17.86,25,78,20.0,1
7.09,19,65,881.6,1
7.82,1,3,2003.27,0
2.33,16,60,20.0,1
11.78,7,25,2209.21,1
1.2,10,47,3028.62,1
9.58,3,11,4167.59,0
11.08,5,16,1195.47,0
6.09,4,20,2148.75,0
12.02,5,23,257.65,1
1.09,2,13,4858.26,0
1.23,3,12,4883.13,1
16.54,3,8,2988.14,1
7.52,6,28,3065.87,0
2.98,1,12,3423.62,0
10.68,7,24,2111.18,1
15.51,21,70,20.0,1
4.71,0,14,2249.46,1
12.65,8,29,2513.19,0
2.16,3,20,2950.67,0
1.51,14,40,307.48,1
10.86,2,17,4558.31,0
11.04,6,30,20.0,0
12.93,10,40,1095.06,0
14.66,16,59,1170.59,1
19.53,8,23,2596.26,1
10.57,4,23,2728.32,1
6.8,6,19,679.36,0
16.01,11,38,20.0,1
5.78,7,19,2539.8,1
9.06,1,15,3011.89,0
2.03,13,56,20.0,1
0.99,6,30,2619.46,0
19.27,6,29,1427.46,1
16.8,2,13,3177.68,1
14.07,5,31,3342.67,0
8.47,3,16,531.15,0
3.88,6,23,20.0,0
3.55,2,5,3827.43,0
5.38,6,29,2229.52,1
11.21,37,130,20.0,1
14.43,1,7,4167.43,0
13.37,19,62,1009.88,1
5.96,3,21,4390.58,0
19.12,10,34,1089.26,1
14.89,8,35,1273.6,1
11.31,4,28,1399.6,0
12.43,9,29,20.0,0
8.68,11,38,1219.4,1
5.33,5,19,1043.16,1
7.44,3,19,4297.56,1
15.28,6,26,2076.52,0
0.78,10,41,1685.35,0
2.76,9,25,689.78,1
1.4,8,34,20.0,1
1.29,4,20,20.0,0
17.18,11,40,812.07,0
14.22,2,6,411.91,1
9.75,7,25,2444.48,1
2.41,1,9,4412.15,0
10.09,2,13,4112.34,1
9.73,2,10,2964.17,0
3.88,5,21,731.46,0
8.96,7,22,3377.5,1
8.27,3,13,4048.31,0
12.51,4,15,587.23,0
12.88,1,18,3496.42,1
1.38,2,18,1130.18,0
7.8,1,16,3826.68,0
12.7,3,6,4925.66,0
10.31,6,25,20.0,1
17.2,8,27,3614.48,1
13.34,7,28,2377.89,1
3.68,4,24,4371.43,0
1.88,3,9,1996.39,0
13.03,10,42,2660.03,1
1.02,5,13,20.0,1
11.92,4,19,1220.98,1
18.83,0,5,407.6,0
11.72,2,12,4545.26,0
8.07,3,14,3720.49,1
13.04,6,18,3870.39,0
9.44,5,20,4001.7,1
11.14,4,23,20.0,0
18.86,5,22,1240.43,0
8.03,8,25,20.0,1
19.24,12,39,20.0,1
18.15,6,25,210.86,1
4.32,17,57,20.0,1
1.85,2,11,1401.23,0
2.47,2,9,420.49,0
0.86,1,2,914.63,0
2.34,6,23,20.0,0
13.82,11,51,3041.61,1
1.89,1,14,3597.31,1
6.72,15,52,2747.82,1
16.98,0,11,2205.0,0
0.95,15,47,20.0,1
16.38,4,14,3665.01,0
6.0,1,13,1613.09,1
2.8,5,13,1034.75,0
14.09,1,10,1001.87,1
12.76,3,10,467.19,0
17.61,4,13,1062.95,0
14.83,8,41,541.32,0
16.17,4,14,2782.81,0
6.0,3,14,108.2,0
3.96,5,19,377.51,0
15.14,7,35,3056.77,1
16.23,2,8,565.27,0
19.81,4,15,1352.03,0
8.55,2,13,4232.85,0
7.75,5,14,699.25,0
15.64,8,25,20.0,1
7.15,1,9,2314.07,0
18.65,5,18,986.03,0
17.24,7,24,1873.03,1
8.87,3,6,3948.22,0
15.14,4,21,101.84,0
15.21,1,10,2708.25,0
2.51,16,58,20.0,1
18.1,3,21,277.37,0
10.35,8,41,1845.71,1
16.62,4,22,801.63,0
6.74,2,3,2454.88,1
17.96,6,18,20.0,0
8.09,16,63,20.0,0
0.71,6,20,865.41,1
18.15,12,30,2761.43,1
2.28,12,44,20.0,1
6.73,2,14,1944.08,0
19.03,2,14,2155.66,0
19.04,5,20,2897.23,1
11.68,6,10,2490.51,1
12.82,10,44,1903.97,0
9.24,13,41,2065.29,1
6.22,3,17,3975.95,0
6.91,3,15,1421.73,0
13.61,10,34,1523.1,1
15.17,4,11,3959.48,0
15.94,9,32,3564.77,1
15.9,3,18,4017.69,0
2.28,7,31,1039.18,0
10.14,2,16,975.99,0
1.62,8,18,1715.79,1
11.22,5,13,3253.2,0
9.11,5,28,1806.9,1
17.81,1,14,2320.43,0
7.34,9,35,3139.23,1
2.78,11,36,281.84,1
3.29,3,13,4117.56,0
15.35,3,12,2012.86,0
12.56,1,11,1689.2,1
2.47,7,23,1502.84,1
2.14,5,16,3088.64,0
14.17,4,22,84.45,0
1.92,2,9,851.34,1
16.53,2,15,4365.45,0
14.27,6,29,237.85,1
2.09,6,18,2332.5,0
2.15,22,83,20.0,1
19.74,4,6,2381.81,0
7.8,9,29,2308.92,1
7.73,5,23,811.71,1
16.35,4,11,2360.87,1
18.97,7,21,912.11,1
19.73,6,26,2398.91,1
15.19,24,78,20.0,1
7.84,1,14,2787.36,0
2.13,3,16,919.87,0
15.65,8,28,434.48,1
11.39,4,18,480.74,1
8.77,4,12,739.56,0
18.17,0,12,4079.78,0
2.67,0,3,1428.33,1
10.11,12,45,2846.01,1
0.72,1,13,4682.22,0
9.64,2,16,2586.67,0
1.6,3,9,595.08,0
2.82,3,18,1584.49,1
2.79,1,3,3951.33,1
13.16,7,16,1314.6,0
15.05,1,14,470.38,0
11.88,10,37,1539.27,0
19.26,2,5,4028.13,0
7.81,4,17,3378.8,1
6.07,12,38,20.0,1
17.44,8,22,2554.68,1
4.86,5,17,571.4,0
19.28,3,8,855.57,0
0.74,3,14,4058.98,0
19.41,6,29,437.69,0
1.34,27,92,20.0,1
17.88,6,28,20.0,0
10.79,4,15,3713.51,0
19.86,8,35,2934.32,1
1.94,3,23,2673.21,1
11.3,1,13,3726.68,0
19.4,5,26,184.07,1
10.7,16,65,20.0,1
12.77,2,12,1666.78,0
14.07,6,23,20.0,0
9.36,1,13,2302.59,1
12.74,4,24,3997.62,0
11.89,2,13,214.95,0
18.07,5,18,1049.35,0
1.39,8,25,20.0,1
5.98,3,13,925.28,0
19.03,6,31,3676.64,1
17.86,9,35,1123.98,1
9.39,14,50,289.08,1
12.59,1,9,3612.89,0
5.91,6,14,449.26,0
4.17,3,16,2355.31,1
9.54,24,89,20.0,1
7.39,15,54,931.02,1
11.88,4,20,4376.68,0
2.02,11,39,2394.0,1
19.5,5,16,1460.77,1
19.73,6,27,3373.36,0
