deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date,date_logic_error,deal_duration_days
D0097,C0398,U012,36105.94,Closed Lost,lost,2026-03-09,2026-03-26,False,17.0
D0098,C0395,U002,74991.34,Negotiation,closed,,,False,
D0099,C0238,U001,13511.7,Qualified,won,2026-05-02,,False,
D0100,C0349,U004,78389.72,Prospecting,,,,False,
D0101,C0153,U005,73162.6,Proposal Sent,,2026-02-18,,False,
D0102,C0376,U008,52015.76,Negotiation,won,,2026-06-11,False,
D0103,C0437,U006,67589.45,Prospecting,closed,,,False,
D0104,C0429,U009,17595.75,Prospecting,open,2026-03-05,,False,
D0105,C0025,U006,70262.78,Proposal Sent,won,2026-04-10,,False,
D0106,C0188,U008,50504.5,Closed Lost,open,,,False,
D0107,C0143,U001,72794.08,Closed Won,open,2026-04-04,,False,
D0108,C0135,U011,3174.37,Closed Won,closed,2026-06-17,,False,
D0109,C0066,U011,20184.8,Qualified,open,,,False,
D0110,C0190,U014,19720.46,Closed Won,,,,False,
D0111,C0004,U009,,Closed Won,closed,2026-01-06,,False,
D0112,C0139,U011,56285.99,Negotiation,won,2026-06-24,,False,
D0113,C0029,U013,13184.11,Closed Won,lost,,,False,
D0114,C0205,U007,62167.0,Prospecting,won,,,False,
D0115,C0255,U005,16624.84,Qualified,closed,,,False,
D0116,C0282,U013,8956.54,Qualified,lost,,,False,
D0117,C0188,U005,72576.36,Negotiation,,,,False,
D0118,C0313,U002,11504.63,Closed Lost,won,2026-12-05,,False,
D0119,C0431,U003,35667.52,Qualified,won,,,False,
D0120,C0394,U002,83884.47,Closed Lost,lost,,,False,
D0121,C0385,U013,42379.69,Qualified,open,,,False,
D0122,C0216,U007,33506.92,Closed Won,,,,False,
D0123,C0449,U006,58008.47,Closed Lost,won,,,False,
D0124,C0194,U009,6951.47,Negotiation,open,,,False,
D0125,C0301,U009,84621.95,Negotiation,lost,,,False,
D0126,C0410,U007,62218.6,Prospecting,won,,,False,
D0127,C0185,U012,22858.4,Prospecting,lost,,,False,
D0128,C0330,U014,59094.1,Prospecting,open,,,False,
D0129,C0355,U003,26643.22,Proposal Sent,open,,,False,
D0130,C0354,U003,44217.33,Closed Won,open,2026-06-01,,False,
D0131,C0307,U004,82755.5,Proposal Sent,closed,2026-05-10,,False,
D0132,C0250,U004,1728.62,Closed Lost,lost,,,False,
D0133,C0046,U013,61917.56,Closed Lost,open,2025-11-08,,False,
D0134,C0149,U005,69400.4,Closed Lost,open,,,False,
D0135,C0215,U012,72579.03,Prospecting,open,,,False,
D0136,C0327,U003,,Negotiation,lost,,,False,
D0137,C0057,U007,71281.65,Closed Won,,2026-01-07,,False,
D0138,C0056,U003,10160.04,Prospecting,open,,,False,
D0139,C0090,U010,3906.16,Closed Won,lost,2026-02-22,,False,
D0140,C0056,U007,23344.67,Closed Lost,open,,2026-06-17,False,
D0141,C0366,U010,45179.12,Proposal Sent,lost,2026-06-20,,False,
D0142,C0074,U014,2472.35,,open,,,False,
D0143,C0438,U003,28272.92,Prospecting,,,,False,
D0144,C0325,U007,39834.4,Closed Won,won,,,False,
D0145,C0250,U012,35187.21,Prospecting,open,2025-12-12,,False,
D0146,C0312,U011,48454.77,Negotiation,closed,,,False,
D0147,C0027,U014,29219.71,Proposal Sent,,,,False,
D0148,C0057,U002,30003.32,Proposal Sent,open,,,False,
D0149,C0189,U012,76389.24,Prospecting,open,,,False,
D0150,C0308,U004,79173.06,Proposal Sent,open,2025-11-07,,False,
D0151,C0054,U013,78873.32,Closed Won,open,,,False,
D0152,C0297,U009,1862.19,Qualified,,,,False,
D0153,C0243,U009,62496.3,Qualified,open,,,False,
D0154,C0162,U009,77978.51,Closed Won,lost,,,False,
D0155,C0407,U003,59951.19,Qualified,lost,,2026-07-13,False,
D0156,C0319,U004,61151.11,Proposal Sent,won,2026-04-11,,False,
D0157,C0253,U009,65024.71,Negotiation,open,,,False,
D0158,C0450,U014,68993.45,,won,,,False,
D0159,C0100,U005,22421.84,Qualified,won,,2026-07-10,False,
D0160,C0016,U006,73980.95,Closed Lost,open,,2026-09-02,False,
D0161,C0397,U013,78861.48,Negotiation,open,,,False,
D0162,C0027,U001,74048.97,Proposal Sent,won,2026-02-28,,False,
D0163,C0382,U010,26064.0,,won,2026-05-13,2026-06-09,False,27.0
D0164,C0060,U007,47975.98,Prospecting,lost,,,False,
D0165,C0234,U012,14334.23,Qualified,open,,,False,
D0166,C0311,U014,67457.33,Negotiation,,,,False,
D0167,C0265,U004,7192.74,Qualified,closed,,,False,
D0168,C0176,U004,31627.0,Proposal Sent,lost,,2025-12-31,False,
D0169,C0415,U013,57356.36,Prospecting,open,,,False,
D0170,C0122,U001,33720.64,Negotiation,lost,,,False,
D0171,C0259,U013,,Closed Lost,,,,False,
D0172,C0048,U003,2112.1,,closed,2026-04-25,,False,
D0173,C0214,U014,70700.51,Prospecting,won,2026-08-04,,False,
D0174,C0378,U011,39845.31,Qualified,open,2026-05-10,,False,
D0175,C0126,U009,35537.34,Prospecting,won,,,False,
D0176,C0340,U002,55058.8,,open,,,False,
D0177,C0428,U002,25701.36,Closed Won,closed,,,False,
D0178,C0193,U007,14553.0,Prospecting,,,,False,
D0179,C0320,U003,47719.27,Negotiation,lost,2026-01-10,,False,
D0180,C0271,U009,63982.76,Prospecting,won,,2025-12-26,False,
D0181,C0071,U003,71201.0,Qualified,won,,2026-04-13,False,
D0182,C0232,U011,25769.5,,open,,,False,
D0183,C0167,U006,25308.95,Qualified,won,,2025-12-31,False,
D0184,C0333,U005,81548.0,Qualified,lost,2026-06-17,,False,
D0185,C0139,U014,62703.23,Closed Won,open,,,False,
D0186,C0278,U002,71789.72,Qualified,open,,,False,
D0187,C0371,U011,75990.78,Prospecting,open,,,False,
D0188,C0389,U010,47558.1,Proposal Sent,open,2026-01-02,,False,
D0189,C0074,U006,,Closed Won,won,,,False,
D0190,C0253,U001,64726.71,Proposal Sent,open,,,False,
D0191,C0333,U014,79921.13,Qualified,,2026-03-24,,False,
D0192,C0187,U004,77295.13,Prospecting,won,,,False,
D0193,C0328,U006,,Prospecting,closed,,,False,
D0194,C0087,U007,56053.6,Closed Won,lost,2026-11-02,,False,
D0195,C0260,U007,67686.9,Closed Won,lost,,,False,
D0196,C0082,U004,55230.0,Prospecting,closed,,,False,
D0197,C0413,U002,61641.35,Proposal Sent,lost,2026-06-15,,False,
D0198,C0011,U004,49386.0,Prospecting,open,2025-12-01,,False,
D0199,C0073,U001,44639.5,Qualified,won,2026-04-11,2026-07-05,False,85.0
D0200,C0043,U004,15742.33,Closed Lost,,,,False,
D0201,C0315,U011,61969.6,Closed Lost,won,,,False,
D0202,C0191,U007,2882.98,Qualified,open,2025-02-11,,False,
D0203,C0306,U002,76784.29,Qualified,,,,False,
D0204,C0059,U002,46530.38,Closed Lost,open,,2026-06-04,False,
D0205,C0440,U001,79858.21,Closed Lost,lost,,2026-06-19,False,
D0206,C0049,U007,65449.22,Qualified,won,,,False,
D0207,C0129,U004,49761.93,Prospecting,open,,,False,
D0208,C0348,U013,10399.7,Negotiation,lost,,,False,
D0209,C0285,U006,36004.55,Proposal Sent,lost,,,False,
D0210,C0127,U005,72892.41,Closed Won,lost,2026-08-01,,False,
D0211,C0050,U004,68371.29,Closed Lost,lost,2026-05-01,,False,
D0212,C0406,U002,78809.46,Qualified,,,,False,
D0213,C0040,U010,52766.13,Prospecting,lost,,,False,
D0214,C0392,U014,38154.0,Qualified,,,,False,
D0215,C0017,U013,59820.55,Closed Lost,closed,,,False,
D0216,C0001,U003,30986.16,Prospecting,won,,,False,
D0217,C0356,U002,25255.23,Prospecting,closed,,,False,
D0218,C0412,U005,79131.11,Proposal Sent,won,2026-06-01,2026-03-08,True,
D0219,C0037,U009,68545.68,Negotiation,lost,,,False,
D0220,C0191,U010,81763.43,Closed Lost,won,,,False,
D0221,C0058,U005,67353.0,Prospecting,lost,,,False,
D0222,C0260,U009,25488.68,Prospecting,won,,,False,
D0223,C0089,U008,,Negotiation,lost,2026-01-10,,False,
D0224,C0118,U012,20638.83,Proposal Sent,won,,,False,
D0225,C0060,U002,81492.42,Closed Lost,open,,2026-01-25,False,
D0226,C0437,U005,24902.0,Closed Lost,open,2026-05-16,,False,
D0227,C0240,U009,30498.63,Prospecting,closed,2025-07-12,,False,
D0228,C0353,U009,2487.0,Closed Lost,lost,,,False,
D0229,C0093,U009,40857.34,Proposal Sent,won,,,False,
D0230,C0354,U013,24849.0,Closed Won,lost,,,False,
D0231,C0365,U005,37590.27,Proposal Sent,closed,2025-12-25,,False,
D0232,C0005,U003,12728.39,Closed Won,,,,False,
D0233,C0398,U008,73184.92,Negotiation,won,2026-06-13,,False,
D0234,C0411,U005,,Closed Lost,open,,2026-07-07,False,
D0235,C0174,U001,30816.06,Closed Won,open,,,False,
D0236,C0328,U009,28645.04,Qualified,won,,,False,
D0237,C0310,U005,54988.48,Closed Lost,open,,,False,
D0238,C0040,U003,,Negotiation,won,,,False,
D0239,C0395,U014,36068.0,Closed Won,closed,,2026-09-08,False,
D0240,C0376,U012,34653.31,Prospecting,won,2025-09-12,,False,
D0241,C0390,U007,10178.02,Closed Lost,open,2025-05-11,,False,
D0242,C0124,U012,53811.14,Negotiation,,2026-02-04,,False,
D0243,C0180,U014,40510.66,Negotiation,,,,False,
D0244,C0353,U009,54192.47,Qualified,,,,False,
D0245,C0269,U005,20465.23,Closed Won,,,2026-06-04,False,
D0246,C0006,U001,30214.39,Closed Lost,open,,,False,
D0247,C0382,U008,65450.08,Negotiation,open,2025-11-18,,False,
D0248,C0094,U007,22366.33,,lost,,,False,
D0249,C0214,U011,65338.95,Proposal Sent,closed,,,False,
D0250,C0376,U009,72766.0,Proposal Sent,lost,,2026-10-07,False,
D0251,C0354,U010,3119.52,Closed Lost,won,2026-04-20,2026-03-06,True,
D0252,C0135,U003,9031.45,Closed Lost,open,,,False,
D0253,C0188,U008,71936.12,Prospecting,lost,,,False,
D0254,C0274,U008,69740.44,Qualified,won,2026-01-18,,False,
D0255,C0124,U012,62899.45,Prospecting,won,2026-05-12,2026-12-07,False,209.0
D0256,C0163,U003,,Prospecting,closed,2026-05-30,,False,
D0257,C0026,U014,21203.15,Proposal Sent,open,,,False,
D0258,C0295,U002,82397.72,Closed Won,won,,,False,
D0259,C0125,U003,53156.85,Closed Lost,open,2026-01-13,,False,
D0260,C0326,U003,12007.0,,open,,,False,
D0261,C0221,U012,59052.37,Proposal Sent,open,2026-03-21,,False,
D0262,C0221,U009,59703.0,Negotiation,closed,,,False,
D0263,C0235,U005,7251.0,,open,,,False,
D0264,C0228,U001,75224.85,Closed Lost,lost,,,False,
D0265,C0333,U009,58549.22,Closed Won,won,,2026-01-03,False,
D0266,C0055,U002,5155.4,Closed Lost,open,2026-05-15,,False,
D0267,C0244,U004,49179.52,Prospecting,open,,,False,
D0268,C0298,U005,52097.13,Prospecting,lost,2026-04-08,,False,
D0269,C0235,U013,63580.37,Prospecting,lost,2026-01-27,2026-11-04,False,281.0
D0270,C0266,U001,80374.39,Prospecting,won,2026-05-27,,False,
D0271,C0096,U009,48128.36,Proposal Sent,open,,,False,
D0272,C0230,U012,15429.0,Closed Won,open,,,False,
D0273,C0269,U010,47431.79,Closed Lost,lost,,,False,
D0274,C0416,U012,47059.79,Negotiation,won,,,False,
D0275,C0226,U007,83576.87,Prospecting,open,,,False,
D0276,C0111,U004,65922.18,Negotiation,open,,,False,
D0277,C0288,U010,4650.98,Qualified,open,,,False,
D0278,C0125,U004,49135.68,Proposal Sent,won,2025-11-14,,False,
D0279,C0086,U008,62520.91,Prospecting,won,,,False,
D0280,C0390,U006,79175.55,Closed Won,lost,,,False,
D0281,C0027,U005,28162.93,Closed Lost,open,2026-06-18,,False,
D0282,C0340,U012,49533.78,Closed Won,,,,False,
D0283,C0042,U008,34832.47,Prospecting,closed,2026-03-05,,False,
D0284,C0242,U009,34509.12,Proposal Sent,,,,False,
D0285,C0036,U005,78665.53,Closed Won,lost,,,False,
D0286,C0162,U006,83968.94,Prospecting,won,2025-06-12,,False,
D0287,C0022,U014,32714.04,Proposal Sent,won,2026-04-25,,False,
D0288,C0313,U003,30163.16,Negotiation,open,,,False,
D0289,C0105,U012,47126.42,,won,,,False,
D0290,C0351,U012,77154.36,Prospecting,lost,2026-02-05,2026-04-23,False,77.0
D0291,C0136,U001,,Closed Lost,open,,,False,
D0292,C0147,U014,43963.12,Closed Won,won,,2026-05-15,False,
D0293,C0045,U003,82227.08,Proposal Sent,closed,2025-12-12,,False,
D0294,C0267,U005,34349.0,Negotiation,,,,False,
D0295,C0152,U004,53753.66,Closed Lost,won,2026-05-08,,False,
D0296,C0113,U003,12961.27,Negotiation,lost,,,False,
D0297,C0211,U004,77462.91,Qualified,lost,2026-04-12,2026-05-24,False,42.0
D0298,C0273,U011,27301.37,Proposal Sent,open,2025-11-22,,False,
D0299,C0390,U003,48037.91,Qualified,lost,,,False,
D0300,C0368,U001,26829.57,Negotiation,lost,,,False,
D0301,C0053,U003,65164.36,Qualified,open,,,False,
D0302,C0301,U004,31498.32,Proposal Sent,open,,,False,
D0303,C0236,U012,42535.71,Closed Won,open,2026-02-16,,False,
D0304,C0136,U007,7022.38,Proposal Sent,won,,2025-02-12,False,
D0305,C0436,U008,66313.93,Proposal Sent,lost,,2026-01-21,False,
D0306,C0300,U009,44974.2,Closed Lost,open,2025-11-30,,False,
D0307,C0123,U009,48068.03,,lost,2026-04-05,,False,
D0308,C0201,U005,,Negotiation,,,,False,
D0309,C0233,U014,10949.83,Closed Lost,open,,,False,
D0310,C0163,U008,39382.34,Prospecting,open,,,False,
D0311,C0163,U012,9114.47,Qualified,open,2026-06-28,,False,
D0312,C0194,U012,33119.67,Closed Lost,open,,,False,
D0313,C0333,U014,74046.0,Qualified,open,,,False,
D0314,C0369,U013,16588.12,Closed Lost,won,2025-11-23,,False,
D0315,C0007,U008,68922.46,Closed Lost,,2026-03-24,,False,
D0316,C0228,U007,51609.0,Closed Lost,open,,,False,
D0317,C0025,U003,56048.62,Qualified,open,,,False,
D0318,C0150,U006,10592.12,Prospecting,open,,,False,
D0319,C0350,U012,82185.49,,open,2026-01-12,,False,
D0320,C0151,U006,64829.91,Closed Won,lost,,,False,
D0321,C0351,U014,36049.0,Proposal Sent,lost,2026-01-18,2026-03-29,False,70.0
D0322,C0044,U008,,Negotiation,lost,,,False,
D0323,C0310,U010,43061.38,Closed Lost,closed,2026-05-29,,False,
D0324,C0001,U002,53725.97,Prospecting,,,,False,
D0325,C0209,U001,68805.0,Negotiation,lost,,,False,
D0326,C0155,U005,28547.64,Closed Lost,closed,,,False,
D0327,C0287,U010,17700.3,Prospecting,open,2026-04-02,,False,
D0328,C0403,U001,14474.76,Qualified,,,,False,
D0329,C0411,U007,26495.2,Prospecting,closed,,,False,
D0330,C0291,U011,,Negotiation,lost,,2026-03-20,False,
D0331,C0425,U003,11256.53,Closed Won,open,,2026-03-02,False,
D0332,C0209,U002,39234.18,Closed Lost,won,,2026-12-07,False,
D0333,C0397,U001,38555.14,Proposal Sent,open,,,False,
D0334,C0172,U008,13465.14,Closed Lost,won,,,False,
D0335,C0103,U012,33863.62,Prospecting,,,,False,
D0336,C0347,U014,75747.02,Prospecting,lost,,,False,
D0337,C0384,U005,,Proposal Sent,lost,,,False,
D0338,C0074,U003,2773.94,Proposal Sent,open,2026-04-09,,False,
D0339,C0277,U006,80263.7,Proposal Sent,open,2025-11-29,,False,
D0340,C0309,U006,5735.64,,,2026-05-29,,False,
D0341,C0027,U002,60340.58,Closed Won,lost,,,False,
D0342,C0168,U014,8058.56,Proposal Sent,closed,,,False,
D0343,C0411,U013,27417.71,Closed Lost,open,,,False,
D0344,C0072,U014,16809.98,Proposal Sent,lost,,,False,
D0345,C0033,U008,40014.0,Prospecting,lost,,2026-01-13,False,
D0346,C0051,U007,55729.19,Prospecting,lost,,,False,
D0347,C0313,U004,82819.96,,open,,,False,
D0348,C0219,U010,59460.0,Negotiation,closed,,,False,
D0349,C0057,U010,9654.1,Closed Lost,lost,2026-02-01,,False,
D0350,C0054,U011,55356.59,Closed Won,lost,2026-05-02,,False,
D0351,C0383,U003,45859.86,Qualified,,2025-11-21,,False,
D0352,C0442,U006,61435.57,Negotiation,won,,,False,
D0353,C0257,U007,32330.11,Qualified,won,,,False,
D0354,C0055,U014,21142.64,Negotiation,open,,,False,
D0355,C0205,U007,19137.0,Closed Won,closed,,,False,
D0356,C0182,U014,25587.32,Closed Won,open,2026-06-26,,False,
D0357,C0009,U003,8569.4,Closed Lost,lost,2026-09-04,2026-04-29,True,
D0358,C0214,U010,44036.15,Qualified,,,,False,
D0359,C0214,U010,72208.0,Prospecting,,2025-11-11,,False,
D0360,C0291,U006,48940.49,Prospecting,open,,,False,
D0361,C0040,U003,44665.29,Closed Lost,won,2026-06-08,,False,
D0362,C0346,U011,5906.65,,won,2026-10-01,,False,
D0363,C0289,U012,81708.54,Negotiation,lost,2026-03-10,2026-04-27,False,48.0
D0364,C0379,U005,54046.55,Proposal Sent,open,,,False,
D0365,C0315,U001,8389.6,Negotiation,,,,False,
D0366,C0311,U005,63409.34,Proposal Sent,won,2026-01-15,,False,
D0367,C0408,U003,16597.57,Proposal Sent,won,,,False,
D0368,C0300,U014,64355.57,Qualified,,2026-01-07,,False,
D0369,C0083,U004,23577.02,Closed Won,open,,,False,
D0370,C0152,U008,58573.08,,won,,,False,
D0371,C0145,U013,27860.0,Closed Lost,lost,2026-04-16,,False,
D0372,C0426,U007,23801.83,Proposal Sent,lost,2026-10-04,,False,
D0373,C0371,U011,29673.45,Proposal Sent,closed,,,False,
D0374,C0005,U014,35839.27,Prospecting,open,,,False,
D0375,C0143,U005,3478.99,Proposal Sent,open,2025-12-05,,False,
D0376,C0322,U002,73012.81,Prospecting,open,,,False,
D0377,C0092,U002,40490.79,Qualified,won,,,False,
D0378,C0129,U003,33463.72,Prospecting,won,,,False,
D0379,C0089,U008,83282.0,Prospecting,,,,False,
D0380,C0272,U013,55218.74,Closed Won,won,2026-03-24,,False,
D0381,C0036,U010,3066.86,Proposal Sent,,2026-01-07,,False,
D0382,C0336,U007,59954.61,Proposal Sent,open,,,False,
D0383,C0390,U008,71978.1,Closed Lost,lost,,,False,
D0384,C0348,U014,46197.89,Closed Lost,open,,,False,
D0385,C0185,U009,71738.66,Negotiation,open,2026-01-02,,False,
D0386,C0020,U007,76354.47,Proposal Sent,won,2026-04-07,,False,
D0387,C0372,U004,17623.24,Qualified,open,2025-10-12,,False,
D0388,C0400,U009,46083.99,Negotiation,,2026-02-19,,False,
D0389,C0028,U006,19175.13,Prospecting,lost,,2026-07-06,False,
D0390,C0117,U002,42322.71,Prospecting,open,,,False,
D0391,C0355,U011,15882.79,Qualified,open,2026-06-17,,False,
D0392,C0085,U014,11034.0,Prospecting,open,2025-12-05,,False,
D0393,C0215,U006,82983.75,Closed Won,lost,2025-12-20,2026-01-07,False,18.0
D0394,C0086,U006,24370.1,Prospecting,open,,,False,
D0395,C0221,U004,9847.32,Prospecting,open,2026-01-05,,False,
D0396,C0245,U002,16480.97,Prospecting,open,,,False,
D0397,C0408,U013,,Closed Lost,open,2026-04-06,2026-05-05,False,29.0
D0398,C0350,U001,52606.16,Qualified,,,,False,
D0399,C0003,U009,83881.39,Proposal Sent,won,,,False,
D0400,C0390,U011,17675.54,Proposal Sent,won,2026-07-04,,False,
D0401,C0339,U001,,Prospecting,lost,2026-05-03,,False,
D0402,C0375,U001,14696.81,,open,2025-12-10,,False,
D0403,C0365,U008,63881.74,Negotiation,lost,2026-05-19,,False,
D0404,C0119,U012,75928.99,Closed Won,won,2026-01-16,,False,
D0405,C0108,U010,32686.0,Closed Lost,open,,,False,
D0406,C0169,U003,24930.45,Prospecting,open,,,False,
D0407,C0173,U004,67427.17,Negotiation,open,2026-06-23,,False,
D0408,C0279,U014,35876.63,Proposal Sent,open,2025-12-30,,False,
D0409,C0422,U008,62456.48,Proposal Sent,open,,,False,
D0410,C0111,U010,36383.95,Qualified,open,,,False,
D0411,C0267,U007,42856.3,Closed Lost,open,,,False,
D0412,C0181,U005,2830.17,Proposal Sent,open,2026-07-02,,False,
D0413,C0378,U010,40224.01,Prospecting,,2026-01-19,,False,
D0414,C0187,U011,7403.33,Closed Lost,open,2025-11-22,,False,
D0415,C0353,U010,8260.08,,won,2026-06-09,2026-07-09,False,30.0
D0416,C0447,U001,40356.97,Prospecting,lost,,2026-06-26,False,
D0417,C0359,U013,83435.0,Proposal Sent,open,2025-06-12,,False,
D0418,C0381,U010,,Proposal Sent,won,,,False,
D0419,C0188,U006,45478.0,Closed Lost,,,,False,
D0420,C0313,U006,8790.28,Prospecting,won,2025-11-24,,False,
D0421,C0056,U012,14067.0,Qualified,,2026-06-26,,False,
D0422,C0345,U009,30449.47,Qualified,,,,False,
D0423,C0011,U014,55330.11,Proposal Sent,closed,,,False,
D0424,C0336,U012,38678.9,Closed Lost,closed,,,False,
D0425,C0131,U004,65774.1,Closed Lost,lost,,2026-01-08,False,
D0426,C0080,U012,82762.71,,won,2026-03-08,,False,
D0427,C0021,U006,23244.0,Qualified,,2026-06-01,,False,
